date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Abeokuta,Ogun,South West,3.481,4.817,29.23,35.1,50.5,3.87,0.11
2020-01-02,Abeokuta,Ogun,South West,3.504,4.661,31.94,28.1,34.2,1.18,0.12
2020-01-03,Abeokuta,Ogun,South West,3.204,4.727,28.53,20.0,29.7,1.39,0.05
2020-01-04,Abeokuta,Ogun,South West,4.631,4.631,29.35,24.5,19.5,2.78,0.02
2020-01-05,Abeokuta,Ogun,South West,2.566,5.029,31.33,22.7,28.6,4.55,0.02
2020-01-06,Abeokuta,Ogun,South West,3.416,4.541,28.49,26.2,14.1,3.33,0.04
2020-01-07,Abeokuta,Ogun,South West,3.846,4.923,28.67,38.2,30.1,5.26,0.21
2020-01-08,Abeokuta,Ogun,South West,3.754,4.658,32.74,21.4,20.4,3.45,0.01
2020-01-09,Abeokuta,Ogun,South West,3.464,4.353,28.04,30.0,23.2,2.59,0.21
2020-01-10,Abeokuta,Ogun,South West,4.226,4.424,31.23,24.7,3.7,5.2,0.0
2020-01-11,Abeokuta,Ogun,South West,3.761,4.536,28.33,20.0,31.5,2.4,0.15
2020-01-12,Abeokuta,Ogun,South West,2.756,4.111,31.2,20.0,27.6,4.58,0.05
2020-01-13,Abeokuta,Ogun,South West,4.384,4.394,28.11,32.5,16.6,3.0,0.01
2020-01-14,Abeokuta,Ogun,South West,3.171,4.425,28.09,20.0,37.3,2.34,0.04
2020-01-15,Abeokuta,Ogun,South West,3.938,4.211,27.19,20.0,29.3,2.45,0.01
2020-01-16,Abeokuta,Ogun,South West,3.421,4.337,30.43,20.0,25.1,5.0,0.21
2020-01-17,Abeokuta,Ogun,South West,2.832,4.96,33.58,29.6,29.8,3.29,0.19
2020-01-18,Abeokuta,Ogun,South West,2.975,4.229,32.68,24.0,31.8,1.43,0.26
2020-01-19,Abeokuta,Ogun,South West,3.696,4.092,29.52,20.0,29.6,1.87,0.05
2020-01-20,Abeokuta,Ogun,South West,4.131,4.131,28.11,27.0,21.3,4.08,0.02
2020-01-21,Abeokuta,Ogun,South West,3.26,4.716,31.82,20.0,33.9,4.23,0.1
2020-01-22,Abeokuta,Ogun,South West,3.035,4.574,27.91,41.9,36.4,3.25,0.03
