date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Abuja,FCT,North Central,3.636,4.958,33.75,32.0,39.9,3.19,0.03
2020-01-02,Abuja,FCT,North Central,3.893,5.402,32.37,20.6,14.5,7.68,0.04
2020-01-03,Abuja,FCT,North Central,4.148,4.962,34.83,20.0,20.1,3.65,0.0
2020-01-04,Abuja,FCT,North Central,4.445,5.1,31.8,21.2,25.2,4.73,0.14
2020-01-05,Abuja,FCT,North Central,4.624,5.181,32.62,35.3,17.5,3.36,0.02
2020-01-06,Abuja,FCT,North Central,4.335,5.189,30.03,20.0,25.3,2.92,0.04
2020-01-07,Abuja,FCT,North Central,4.881,5.304,27.17,20.0,19.3,3.03,0.05
2020-01-08,Abuja,FCT,North Central,4.642,5.14,35.28,25.6,13.6,0.8,0.12
2020-01-09,Abuja,FCT,North Central,4.565,4.821,33.78,20.0,7.3,4.28,0.01
2020-01-10,Abuja,FCT,North Central,4.008,5.064,32.59,20.0,21.6,4.16,0.24
2020-01-11,Abuja,FCT,North Central,4.824,4.871,32.58,36.7,6.8,4.31,0.08
2020-01-12,Abuja,FCT,North Central,4.844,4.887,31.84,20.0,23.2,9.27,0.18
2020-01-13,Abuja,FCT,North Central,3.875,4.94,31.05,23.2,34.0,4.49,0.33
2020-01-14,Abuja,FCT,North Central,4.477,5.065,32.8,24.3,32.7,4.87,0.14
2020-01-15,Abuja,FCT,North Central,5.229,5.229,32.89,20.0,37.8,7.07,0.05
2020-01-16,Abuja,FCT,North Central,5.201,5.529,31.53,20.0,11.0,3.47,0.1
2020-01-17,Abuja,FCT,North Central,3.94,5.418,32.71,20.0,15.5,2.63,0.31
2020-01-18,Abuja,FCT,North Central,3.435,4.865,31.14,20.0,39.2,2.83,0.54
2020-01-19,Abuja,FCT,North Central,3.779,5.384,32.29,20.0,17.4,3.76,0.15
2020-01-20,Abuja,FCT,North Central,4.234,5.616,32.05,20.0,11.7,5.62,0.11
2020-01-21,Abuja,FCT,North Central,4.493,4.864,31.93,20.0,19.5,3.22,0.16
2020-01-22,Abuja,FCT,North Central,3.452,4.98,31.38,20.0,13.5,3.09,0.04
2020-01-23,Abuja,FCT,North Central,4.905,4.905,31.66,32.0,19.1,0.72,0.0
2020-01-24,Abuja,FCT,North Central,3.676,5.195,30.76,20.0,24.1,1.76,0.11
2020-01-25,Abuja,FCT,North Central,4.28,5.258,31.38,20.0,22.0,5.17,0.12
2020-01-26,Abuja,FCT,North Central,4.23,5.453,31.61,20.0,22.4,3.29,0.11
2020-01-27,Abuja,FCT,North Central,4.566,5.091,30.04,20.5,19.0,3.93,0.14
2020-01-28,Abuja,FCT,North Central,4.849,5.641,32.71,25.9,15.0,3.98,0.25
2020-01-29,Abuja,FCT,North Central,4.994,5.062,32.4,23.8,23.2,2.84,0.04
2020-01-30,Abuja,FCT,North Central,4.825,5.504,32.69,20.0,17.7,3.6,0.05
2020-01-31,Abuja,FCT,North Central,5.265,5.265,33.35,20.0,23.8,2.85,0.2
2020-02-01,Abuja,FCT,North Central,3.142,4.999,34.67,27.8,8.2,2.22,0.09
2020-02-02,Abuja,FCT,North Central,4.928,4.928,34.0,20.0,20.0,1.14,0.0
2020-02-03,Abuja,FCT,North Central,4.366,5.338,34.78,20.0,8.5,4.89,0.03
2020-02-04,Abuja,FCT,North Central,2.793,5.302,31.33,20.0,5.8,4.66,0.11
2020-02-05,Abuja,FCT,North Central,3.468,4.82,35.35,25.8,33.3,3.18,0.08
2020-02-06,Abuja,FCT,North Central,4.274,5.634,32.92,20.0,23.8,0.48,0.06
2020-02-07,Abuja,FCT,North Central,3.775,4.464,35.14,20.0,32.3,4.6,0.05
2020-02-08,Abuja,FCT,North Central,4.044,4.726,31.58,22.5,11.5,4.26,0.32
2020-02-09,Abuja,FCT,North Central,4.74,5.109,28.27,20.0,16.5,7.53,0.02
2020-02-10,Abuja,FCT,North Central,4.79,5.27,31.01,25.7,2.6,3.41,0.22
2020-02-11,Abuja,FCT,North Central,3.596,5.351,31.4,20.0,19.2,4.5,0.07
2020-02-12,Abuja,FCT,North Central,3.566,4.926,32.57,20.0,34.1,4.54,0.01
2020-02-13,Abuja,FCT,North Central,3.82,5.193,29.39,20.0,30.6,1.99,0.3
2020-02-14,Abuja,FCT,North Central,4.754,4.826,30.39,20.0,5.0,3.9,0.1
2020-02-15,Abuja,FCT,North Central,4.306,4.926,32.65,20.0,23.5,1.75,0.11
2020-02-16,Abuja,FCT,North Central,4.37,4.779,34.49,29.1,23.6,4.84,0.02
2020-02-17,Abuja,FCT,North Central,4.309,4.767,32.13,20.0,29.3,5.09,0.02
2020-02-18,Abuja,FCT,North Central,3.994,5.526,33.45,20.0,25.0,2.81,0.14
2020-02-19,Abuja,FCT,North Central,5.06,5.06,32.58,31.5,2.1,3.77,0.02
2020-02-20,Abuja,FCT,North Central,4.329,4.949,33.17,20.0,15.4,1.01,0.17
2020-02-21,Abuja,FCT,North Central,4.237,5.255,28.69,20.0,10.7,4.56,0.22
2020-02-22,Abuja,FCT,North Central,3.879,4.617,33.58,26.7,40.3,4.15,0.4
2020-02-23,Abuja,FCT,North Central,4.883,5.156,29.54,25.3,6.9,4.79,0.06
2020-02-24,Abuja,FCT,North Central,4.405,5.29,31.04,20.0,11.7,2.96,0.17
2020-02-25,Abuja,FCT,North Central,5.159,5.288,31.44,35.0,18.4,4.06,0.03
2020-02-26,Abuja,FCT,North Central,4.198,4.949,33.8,20.0,14.0,3.5,0.03
2020-02-27,Abuja,FCT,North Central,3.175,5.128,34.07,22.7,25.0,5.64,0.36
2020-02-28,Abuja,FCT,North Central,3.517,5.043,30.83,20.0,18.7,2.44,0.01
2020-02-29,Abuja,FCT,North Central,4.78,5.154,30.83,20.0,11.9,3.56,0.3
2020-03-01,Abuja,FCT,North Central,4.454,4.987,26.22,44.3,31.0,2.97,0.72
2020-03-02,Abuja,FCT,North Central,4.237,5.038,31.21,20.0,31.0,1.41,2.64
2020-03-03,Abuja,FCT,North Central,3.669,4.73,28.53,22.4,44.8,5.12,0.87
2020-03-04,Abuja,FCT,North Central,3.91,4.593,29.61,20.1,42.8,2.76,0.45
2020-03-05,Abuja,FCT,North Central,3.648,5.63,32.97,20.0,48.9,3.59,0.84
2020-03-06,Abuja,FCT,North Central,3.58,4.482,26.82,20.0,40.5,3.52,3.46
2020-03-07,Abuja,FCT,North Central,4.373,5.066,31.3,39.3,38.8,2.5,4.23
2020-03-08,Abuja,FCT,North Central,4.407,5.187,32.14,20.0,24.1,2.35,0.13
2020-03-09,Abuja,FCT,North Central,4.339,4.703,32.82,38.8,38.9,5.84,0.98
2020-03-10,Abuja,FCT,North Central,4.069,5.613,32.57,25.7,23.3,0.76,11.49
2020-03-11,Abuja,FCT,North Central,3.282,5.349,30.25,47.2,54.6,1.32,0.23
2020-03-12,Abuja,FCT,North Central,3.431,4.94,30.3,30.4,62.9,2.14,0.54
2020-03-13,Abuja,FCT,North Central,3.351,5.27,28.28,28.6,45.9,2.18,0.2
2020-03-14,Abuja,FCT,North Central,4.199,4.677,32.35,23.0,40.5,3.59,0.94
2020-03-15,Abuja,FCT,North Central,3.584,5.47,31.63,41.2,47.7,2.3,1.49
2020-03-16,Abuja,FCT,North Central,3.672,4.829,28.07,42.8,30.3,2.77,2.61
2020-03-17,Abuja,FCT,North Central,3.056,4.992,31.47,20.4,51.1,6.05,0.84
2020-03-18,Abuja,FCT,North Central,3.961,4.967,28.23,44.8,35.2,3.78,0.61
2020-03-19,Abuja,FCT,North Central,4.228,4.829,32.45,32.0,18.5,3.43,2.22
2020-03-20,Abuja,FCT,North Central,4.216,4.974,31.23,20.2,36.1,4.92,3.65
2020-03-21,Abuja,FCT,North Central,4.284,5.003,27.53,24.8,23.7,1.92,6.09
2020-03-22,Abuja,FCT,North Central,4.231,5.003,31.99,20.0,28.3,5.74,2.04
2020-03-23,Abuja,FCT,North Central,3.949,4.917,31.46,28.0,43.3,0.8,0.05
2020-03-24,Abuja,FCT,North Central,4.808,5.547,27.45,33.4,35.2,1.09,1.48
