date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Akure,Ondo,South West,4.118,4.638,34.42,28.3,44.0,3.0,0.04
2020-01-02,Akure,Ondo,South West,3.437,4.558,29.4,41.5,33.6,4.26,0.05
2020-01-03,Akure,Ondo,South West,2.679,4.531,30.26,29.5,28.5,3.69,0.04
2020-01-04,Akure,Ondo,South West,3.959,4.017,31.95,22.3,6.0,3.78,0.01
2020-01-05,Akure,Ondo,South West,4.338,4.508,28.26,42.4,32.9,3.83,0.06
2020-01-06,Akure,Ondo,South West,2.878,4.463,29.75,24.7,38.9,2.57,0.04
2020-01-07,Akure,Ondo,South West,3.22,4.55,30.6,33.4,22.3,4.08,0.01
2020-01-08,Akure,Ondo,South West,3.925,4.582,28.72,20.0,44.7,1.79,0.07
2020-01-09,Akure,Ondo,South West,3.891,4.669,26.28,43.7,25.5,2.61,0.15
2020-01-10,Akure,Ondo,South West,3.737,4.182,28.52,29.3,40.1,5.81,0.28
2020-01-11,Akure,Ondo,South West,3.598,4.749,31.01,20.0,37.4,2.61,0.24
2020-01-12,Akure,Ondo,South West,3.17,4.3,31.78,33.8,35.9,1.28,0.08
2020-01-13,Akure,Ondo,South West,2.498,4.424,32.02,29.7,36.1,4.74,0.07
2020-01-14,Akure,Ondo,South West,2.864,4.535,26.76,21.0,23.5,2.93,0.0
2020-01-15,Akure,Ondo,South West,3.476,4.289,32.77,20.0,40.6,1.35,0.01
2020-01-16,Akure,Ondo,South West,2.759,4.202,31.18,24.7,38.4,2.04,0.01
2020-01-17,Akure,Ondo,South West,3.778,4.059,31.0,28.6,24.2,4.57,0.04
2020-01-18,Akure,Ondo,South West,4.139,4.204,30.91,20.0,23.2,2.56,0.03
2020-01-19,Akure,Ondo,South West,3.697,4.434,28.64,20.0,41.6,2.58,0.01
2020-01-20,Akure,Ondo,South West,3.349,4.487,29.24,20.0,44.6,4.99,0.02
2020-01-21,Akure,Ondo,South West,2.921,4.01,29.99,20.0,45.2,3.21,0.04
2020-01-22,Akure,Ondo,South West,3.502,4.079,30.81,20.0,37.7,6.79,0.17
2020-01-23,Akure,Ondo,South West,4.02,4.58,32.02,33.6,28.8,3.66,0.02
2020-01-24,Akure,Ondo,South West,3.001,4.284,28.59,26.1,31.2,4.05,0.04
2020-01-25,Akure,Ondo,South West,2.829,4.684,30.91,28.7,42.7,1.75,0.05
2020-01-26,Akure,Ondo,South West,3.35,4.746,30.82,20.0,44.5,3.72,0.01
2020-01-27,Akure,Ondo,South West,3.677,4.641,26.82,38.2,58.2,3.1,0.08
2020-01-28,Akure,Ondo,South West,3.286,4.426,32.01,20.0,42.0,4.83,0.05
2020-01-29,Akure,Ondo,South West,2.43,4.699,24.78,37.0,40.1,4.03,0.05
2020-01-30,Akure,Ondo,South West,3.831,4.267,31.33,35.6,38.9,0.92,0.22
2020-01-31,Akure,Ondo,South West,3.314,4.398,30.63,28.3,49.4,4.07,0.24
2020-02-01,Akure,Ondo,South West,2.9,4.357,25.23,51.6,64.3,3.84,0.82
2020-02-02,Akure,Ondo,South West,3.15,4.152,27.89,42.9,52.9,4.85,2.08
2020-02-03,Akure,Ondo,South West,2.338,4.064,28.96,44.6,77.9,4.12,0.04
2020-02-04,Akure,Ondo,South West,2.426,4.284,30.8,43.8,63.6,3.18,11.08
2020-02-05,Akure,Ondo,South West,2.844,4.521,27.65,53.0,41.3,4.28,2.39
2020-02-06,Akure,Ondo,South West,2.949,4.567,25.8,53.3,70.1,3.52,1.43
2020-02-07,Akure,Ondo,South West,2.926,4.404,27.13,51.3,61.1,4.43,3.92
2020-02-08,Akure,Ondo,South West,3.018,4.291,27.11,61.1,75.6,2.35,0.08
2020-02-09,Akure,Ondo,South West,4.086,4.086,26.43,51.8,48.9,3.61,0.01
2020-02-10,Akure,Ondo,South West,2.691,4.685,28.86,40.7,71.2,3.74,0.3
2020-02-11,Akure,Ondo,South West,2.516,3.86,31.52,59.4,68.9,2.48,2.63
2020-02-12,Akure,Ondo,South West,2.091,4.437,24.9,52.5,78.1,5.41,7.02
2020-02-13,Akure,Ondo,South West,3.243,4.442,23.8,55.9,66.7,4.59,0.81
2020-02-14,Akure,Ondo,South West,3.9,4.379,29.44,57.3,45.4,3.07,2.3
2020-02-15,Akure,Ondo,South West,2.747,4.146,30.65,51.2,58.7,2.5,0.78
2020-02-16,Akure,Ondo,South West,3.373,4.115,29.92,48.1,35.3,2.32,0.11
2020-02-17,Akure,Ondo,South West,2.994,4.031,29.78,44.0,60.7,2.51,0.5
2020-02-18,Akure,Ondo,South West,2.76,4.228,28.32,46.4,57.0,2.44,1.13
2020-02-19,Akure,Ondo,South West,2.606,4.041,26.8,44.0,55.1,3.48,1.83
2020-02-20,Akure,Ondo,South West,3.653,4.773,28.89,47.4,43.0,1.18,6.53
2020-02-21,Akure,Ondo,South West,2.883,4.675,26.38,57.0,68.7,6.0,2.39
2020-02-22,Akure,Ondo,South West,2.518,4.246,27.8,34.1,89.2,4.44,0.06
2020-02-23,Akure,Ondo,South West,2.571,4.68,25.88,51.9,54.4,3.47,5.37
2020-02-24,Akure,Ondo,South West,2.584,4.224,27.07,29.0,47.2,2.73,2.73
2020-02-25,Akure,Ondo,South West,3.596,4.621,24.78,63.6,50.0,5.2,0.39
2020-02-26,Akure,Ondo,South West,2.718,4.182,28.27,40.8,50.6,3.56,0.82
2020-02-27,Akure,Ondo,South West,2.231,4.644,25.04,40.7,81.0,4.79,0.71
2020-02-28,Akure,Ondo,South West,3.105,4.597,25.69,48.7,61.7,4.84,0.76
2020-02-29,Akure,Ondo,South West,2.907,4.014,26.47,43.3,61.1,2.7,2.67
2020-03-01,Akure,Ondo,South West,1.82,4.936,26.6,76.5,93.8,3.89,1.21
2020-03-02,Akure,Ondo,South West,1.98,4.65,25.97,76.6,76.0,2.18,3.87
2020-03-03,Akure,Ondo,South West,2.04,4.661,27.13,80.6,86.4,5.49,6.99
2020-03-04,Akure,Ondo,South West,1.601,4.445,23.81,62.8,100.0,4.2,2.03
2020-03-05,Akure,Ondo,South West,1.413,4.274,24.03,60.6,99.0,0.41,3.59
2020-03-06,Akure,Ondo,South West,1.914,4.001,23.31,64.0,95.9,3.51,20.9
2020-03-07,Akure,Ondo,South West,2.474,4.589,27.01,70.7,75.9,1.62,0.7
2020-03-08,Akure,Ondo,South West,1.734,4.558,24.46,61.7,100.0,3.0,4.95
2020-03-09,Akure,Ondo,South West,2.813,4.37,27.11,59.0,65.1,2.85,22.28
2020-03-10,Akure,Ondo,South West,1.62,4.596,25.5,92.9,95.8,5.84,8.36
2020-03-11,Akure,Ondo,South West,1.666,4.071,24.93,78.8,100.0,2.51,0.49
2020-03-12,Akure,Ondo,South West,1.124,4.429,25.63,78.6,94.1,1.93,16.4
2020-03-13,Akure,Ondo,South West,2.015,4.136,20.54,68.1,80.7,1.79,0.07
2020-03-14,Akure,Ondo,South West,1.964,4.451,25.67,75.7,72.3,2.38,5.14
2020-03-15,Akure,Ondo,South West,2.868,4.156,22.47,87.6,84.3,2.41,0.01
2020-03-16,Akure,Ondo,South West,2.153,4.301,22.92,59.6,85.3,3.57,0.61
2020-03-17,Akure,Ondo,South West,1.75,4.203,27.18,70.2,96.6,2.42,13.81
2020-03-18,Akure,Ondo,South West,1.805,4.223,25.34,57.1,99.2,4.9,14.86
2020-03-19,Akure,Ondo,South West,2.272,4.854,26.73,69.6,91.6,0.67,0.16
2020-03-20,Akure,Ondo,South West,1.995,4.656,27.83,63.8,100.0,3.74,18.67
2020-03-21,Akure,Ondo,South West,2.484,5.049,24.99,82.6,87.0,2.38,2.35
2020-03-22,Akure,Ondo,South West,1.537,4.121,28.07,77.8,95.4,2.6,13.44
2020-03-23,Akure,Ondo,South West,2.096,4.265,24.56,58.9,90.7,1.86,3.18
2020-03-24,Akure,Ondo,South West,1.413,4.577,22.61,64.2,99.1,1.76,0.48
2020-03-25,Akure,Ondo,South West,1.863,4.44,28.37,62.6,91.5,2.61,9.5
2020-03-26,Akure,Ondo,South West,2.048,4.783,25.14,62.1,77.2,3.42,20.27
2020-03-27,Akure,Ondo,South West,2.815,4.281,26.33,72.3,74.6,2.04,7.57
2020-03-28,Akure,Ondo,South West,1.538,4.537,27.85,81.7,95.1,1.94,12.39
2020-03-29,Akure,Ondo,South West,1.876,5.208,26.61,60.3,71.9,4.91,8.18
2020-03-30,Akure,Ondo,South West,2.422,4.103,24.88,57.1,85.6,2.58,5.41
2020-03-31,Akure,Ondo,South West,1.734,4.205,26.37,45.0,78.8,3.79,6.08
2020-04-01,Akure,Ondo,South West,2.663,4.347,24.58,65.7,66.2,1.21,4.06
2020-04-02,Akure,Ondo,South West,2.217,4.037,25.32,73.9,100.0,3.62,1.64
2020-04-03,Akure,Ondo,South West,1.966,3.904,24.48,69.0,85.2,5.4,2.26
2020-04-04,Akure,Ondo,South West,1.939,4.448,25.57,80.5,81.9,2.13,11.51
2020-04-05,Akure,Ondo,South West,2.351,4.736,26.11,66.2,68.8,4.17,1.18
2020-04-06,Akure,Ondo,South West,1.225,4.806,25.73,90.2,96.2,7.59,2.61
