date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Awka,Anambra,South East,2.829,3.92,29.53,31.6,45.6,2.49,0.06
2020-01-02,Awka,Anambra,South East,2.212,4.046,30.15,32.1,33.1,3.72,0.06
2020-01-03,Awka,Anambra,South East,3.748,3.811,25.18,27.7,0.0,3.49,0.01
2020-01-04,Awka,Anambra,South East,2.836,4.189,29.51,27.6,27.8,4.73,0.23
2020-01-05,Awka,Anambra,South East,2.768,4.175,26.74,33.7,31.0,4.95,0.23
2020-01-06,Awka,Anambra,South East,2.046,3.814,29.74,57.0,69.1,4.82,0.14
2020-01-07,Awka,Anambra,South East,2.886,4.615,30.4,32.8,32.9,5.73,0.0
2020-01-08,Awka,Anambra,South East,3.416,3.996,30.22,24.3,46.8,4.65,0.07
2020-01-09,Awka,Anambra,South East,3.466,4.451,25.96,35.3,28.0,3.78,0.21
2020-01-10,Awka,Anambra,South East,3.581,4.834,28.39,24.5,42.9,5.62,0.28
2020-01-11,Awka,Anambra,South East,3.312,3.691,26.74,25.8,35.8,0.68,0.13
2020-01-12,Awka,Anambra,South East,2.813,4.312,25.78,20.0,34.9,1.27,0.06
2020-01-13,Awka,Anambra,South East,2.889,4.092,28.57,28.5,40.6,2.78,0.02
2020-01-14,Awka,Anambra,South East,4.523,4.523,29.28,20.0,28.6,4.86,0.01
2020-01-15,Awka,Anambra,South East,2.91,4.574,28.59,26.8,46.5,3.15,0.13
2020-01-16,Awka,Anambra,South East,3.981,3.981,30.86,30.7,34.6,2.38,0.12
2020-01-17,Awka,Anambra,South East,3.567,4.276,28.3,32.6,45.3,1.03,0.15
2020-01-18,Awka,Anambra,South East,3.935,4.365,28.8,33.7,30.2,1.4,0.04
2020-01-19,Awka,Anambra,South East,2.843,4.579,29.49,23.9,19.7,5.85,0.03
2020-01-20,Awka,Anambra,South East,4.48,4.48,28.75,38.7,30.7,1.78,0.15
2020-01-21,Awka,Anambra,South East,2.212,3.882,31.1,44.2,34.7,4.31,0.15
2020-01-22,Awka,Anambra,South East,3.049,4.357,26.79,24.0,33.2,3.5,0.09
2020-01-23,Awka,Anambra,South East,3.955,4.368,29.56,32.0,11.9,1.06,0.05
2020-01-24,Awka,Anambra,South East,2.895,3.919,30.71,20.0,34.7,1.7,0.06
2020-01-25,Awka,Anambra,South East,2.566,4.034,29.36,34.6,28.2,2.47,0.19
2020-01-26,Awka,Anambra,South East,3.369,4.134,29.95,20.0,52.9,3.6,0.15
2020-01-27,Awka,Anambra,South East,4.03,4.166,32.33,22.2,37.1,3.5,0.07
2020-01-28,Awka,Anambra,South East,2.447,4.51,27.49,27.4,44.9,3.34,0.1
2020-01-29,Awka,Anambra,South East,2.724,4.114,33.58,41.4,46.9,4.61,0.37
2020-01-30,Awka,Anambra,South East,3.192,4.08,32.26,20.0,27.1,4.08,0.12
2020-01-31,Awka,Anambra,South East,3.273,4.349,30.13,25.9,56.9,3.65,0.14
2020-02-01,Awka,Anambra,South East,1.882,4.262,29.53,69.0,58.9,3.51,1.61
2020-02-02,Awka,Anambra,South East,2.355,4.027,26.43,61.9,71.7,2.16,2.13
2020-02-03,Awka,Anambra,South East,2.56,4.158,25.75,43.8,55.3,2.98,3.6
2020-02-04,Awka,Anambra,South East,3.431,4.164,27.59,52.0,55.2,4.4,2.09
2020-02-05,Awka,Anambra,South East,2.685,4.215,26.17,54.9,54.2,4.29,1.62
2020-02-06,Awka,Anambra,South East,2.953,4.218,24.87,39.7,69.8,1.77,0.48
2020-02-07,Awka,Anambra,South East,2.451,3.684,27.98,55.0,77.4,4.15,0.0
2020-02-08,Awka,Anambra,South East,2.65,4.483,27.79,57.6,71.2,3.76,1.3
2020-02-09,Awka,Anambra,South East,2.649,4.015,27.96,67.6,71.1,4.35,1.16
2020-02-10,Awka,Anambra,South East,1.53,4.207,28.5,56.7,66.7,5.77,0.01
2020-02-11,Awka,Anambra,South East,3.155,4.14,26.79,56.4,63.5,4.31,1.92
2020-02-12,Awka,Anambra,South East,2.79,4.149,27.75,68.9,78.1,4.29,1.67
2020-02-13,Awka,Anambra,South East,2.888,3.661,23.57,49.2,81.3,4.21,0.64
2020-02-14,Awka,Anambra,South East,2.827,3.955,25.72,45.7,57.2,2.36,0.77
2020-02-15,Awka,Anambra,South East,1.381,4.179,26.13,52.6,82.9,4.0,0.03
2020-02-16,Awka,Anambra,South East,2.684,3.667,28.82,60.2,64.9,4.72,1.26
