date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Bauchi,Bauchi,North East,4.894,5.703,38.39,20.0,3.0,3.38,0.01
2020-01-02,Bauchi,Bauchi,North East,5.465,5.577,37.96,20.0,8.1,3.86,0.21
2020-01-03,Bauchi,Bauchi,North East,5.274,5.274,33.77,20.0,6.7,3.05,0.0
2020-01-04,Bauchi,Bauchi,North East,3.999,4.474,33.68,20.0,36.1,4.64,0.09
2020-01-05,Bauchi,Bauchi,North East,4.28,5.903,35.04,26.4,20.8,3.31,0.08
2020-01-06,Bauchi,Bauchi,North East,5.266,5.404,33.37,20.0,13.3,2.66,0.03
2020-01-07,Bauchi,Bauchi,North East,4.523,5.533,35.65,20.0,7.3,4.02,0.09
2020-01-08,Bauchi,Bauchi,North East,5.427,5.427,37.8,20.0,0.0,2.58,0.14
2020-01-09,Bauchi,Bauchi,North East,5.683,6.016,36.54,20.0,0.0,5.21,0.27
2020-01-10,Bauchi,Bauchi,North East,3.579,5.292,37.5,20.0,8.0,5.73,0.02
2020-01-11,Bauchi,Bauchi,North East,5.748,5.748,36.12,20.0,0.0,2.81,0.04
2020-01-12,Bauchi,Bauchi,North East,4.634,6.009,40.37,20.0,19.7,2.21,0.02
2020-01-13,Bauchi,Bauchi,North East,5.015,5.616,33.64,20.0,17.4,4.61,0.05
2020-01-14,Bauchi,Bauchi,North East,4.666,5.599,35.53,20.0,7.1,3.94,0.01
2020-01-15,Bauchi,Bauchi,North East,5.049,5.198,38.82,20.0,0.0,3.41,0.23
2020-01-16,Bauchi,Bauchi,North East,4.754,5.663,38.64,20.0,27.8,3.46,0.15
2020-01-17,Bauchi,Bauchi,North East,5.146,5.16,41.5,20.0,13.8,3.27,0.0
2020-01-18,Bauchi,Bauchi,North East,4.44,5.66,33.52,24.6,29.6,4.26,0.02
2020-01-19,Bauchi,Bauchi,North East,5.462,5.683,38.55,20.0,1.7,4.29,0.01
2020-01-20,Bauchi,Bauchi,North East,5.295,5.411,36.81,20.0,12.9,4.04,0.3
2020-01-21,Bauchi,Bauchi,North East,4.931,5.559,39.12,20.0,13.7,4.16,0.22
2020-01-22,Bauchi,Bauchi,North East,4.285,5.41,37.67,20.0,14.1,4.03,0.01
2020-01-23,Bauchi,Bauchi,North East,5.181,5.684,39.05,25.5,17.1,4.35,0.08
2020-01-24,Bauchi,Bauchi,North East,5.0,6.034,39.06,20.0,17.7,5.2,0.26
2020-01-25,Bauchi,Bauchi,North East,3.93,5.728,37.43,20.0,17.5,5.1,0.2
2020-01-26,Bauchi,Bauchi,North East,4.274,5.39,36.0,20.0,2.7,4.57,0.23
2020-01-27,Bauchi,Bauchi,North East,4.439,5.639,33.71,20.0,10.1,3.54,0.13
2020-01-28,Bauchi,Bauchi,North East,4.656,5.206,35.02,20.0,15.6,5.93,0.04
2020-01-29,Bauchi,Bauchi,North East,5.149,5.733,35.66,20.0,14.7,5.07,0.05
2020-01-30,Bauchi,Bauchi,North East,5.22,5.488,35.04,20.0,0.0,5.81,0.27
2020-01-31,Bauchi,Bauchi,North East,5.077,5.534,38.07,20.2,0.0,3.71,0.13
2020-02-01,Bauchi,Bauchi,North East,4.574,5.825,37.26,20.0,0.0,4.14,0.19
2020-02-02,Bauchi,Bauchi,North East,4.939,6.069,38.93,20.0,29.7,0.15,0.01
2020-02-03,Bauchi,Bauchi,North East,4.71,6.073,36.37,20.0,0.0,3.89,0.02
2020-02-04,Bauchi,Bauchi,North East,5.11,6.101,36.03,20.0,12.6,1.27,0.03
2020-02-05,Bauchi,Bauchi,North East,4.502,5.567,34.66,20.0,16.1,3.67,0.08
2020-02-06,Bauchi,Bauchi,North East,4.731,5.187,35.55,20.0,27.5,2.45,0.01
2020-02-07,Bauchi,Bauchi,North East,4.647,5.113,40.08,20.0,13.5,1.25,0.0
2020-02-08,Bauchi,Bauchi,North East,4.46,5.374,35.38,40.4,16.4,4.43,0.04
2020-02-09,Bauchi,Bauchi,North East,5.137,5.503,36.49,20.0,8.4,6.44,0.02
2020-02-10,Bauchi,Bauchi,North East,5.051,5.327,38.41,20.0,20.1,4.47,0.04
2020-02-11,Bauchi,Bauchi,North East,5.383,5.684,37.46,20.0,1.3,4.71,0.1
2020-02-12,Bauchi,Bauchi,North East,5.567,5.567,36.21,20.0,7.9,2.35,0.1
2020-02-13,Bauchi,Bauchi,North East,4.237,5.393,35.66,20.0,36.8,2.92,0.26
2020-02-14,Bauchi,Bauchi,North East,6.003,6.003,34.9,20.0,0.0,4.04,0.17
2020-02-15,Bauchi,Bauchi,North East,5.454,5.454,31.52,20.0,0.0,4.93,0.21
2020-02-16,Bauchi,Bauchi,North East,5.877,6.056,38.94,20.0,3.0,3.24,0.09
2020-02-17,Bauchi,Bauchi,North East,5.064,5.619,37.84,20.0,0.0,5.2,0.02
2020-02-18,Bauchi,Bauchi,North East,4.535,5.572,35.47,20.0,2.7,1.78,0.21
2020-02-19,Bauchi,Bauchi,North East,4.655,5.917,34.74,20.0,13.1,4.26,0.0
2020-02-20,Bauchi,Bauchi,North East,5.553,5.553,39.62,36.1,0.0,2.4,0.01
2020-02-21,Bauchi,Bauchi,North East,5.178,5.311,33.93,20.0,23.9,3.54,0.07
2020-02-22,Bauchi,Bauchi,North East,4.892,5.226,35.99,20.0,4.6,3.63,0.1
2020-02-23,Bauchi,Bauchi,North East,4.112,5.624,32.78,20.0,15.1,7.46,0.28
2020-02-24,Bauchi,Bauchi,North East,5.286,5.468,39.32,20.0,11.6,4.34,0.26
2020-02-25,Bauchi,Bauchi,North East,6.047,6.047,35.57,20.0,3.0,0.88,0.06
2020-02-26,Bauchi,Bauchi,North East,5.502,5.694,37.37,20.0,0.0,2.03,0.06
2020-02-27,Bauchi,Bauchi,North East,4.282,5.751,34.35,20.0,22.6,2.99,0.18
2020-02-28,Bauchi,Bauchi,North East,5.567,5.65,34.17,20.0,0.0,2.48,0.03
2020-02-29,Bauchi,Bauchi,North East,5.274,5.683,31.9,20.0,0.0,4.02,0.03
2020-03-01,Bauchi,Bauchi,North East,5.433,5.532,36.62,25.6,15.6,1.75,4.28
2020-03-02,Bauchi,Bauchi,North East,5.172,5.33,34.7,30.4,7.6,5.26,0.43
2020-03-03,Bauchi,Bauchi,North East,4.719,5.148,31.31,35.9,37.3,2.59,0.65
2020-03-04,Bauchi,Bauchi,North East,4.165,5.345,37.11,22.7,50.3,2.81,0.24
2020-03-05,Bauchi,Bauchi,North East,4.388,5.555,31.2,20.0,31.7,1.31,5.04
2020-03-06,Bauchi,Bauchi,North East,4.798,5.398,35.33,21.0,8.6,3.68,1.27
2020-03-07,Bauchi,Bauchi,North East,4.373,5.442,34.62,21.4,44.0,6.08,0.38
2020-03-08,Bauchi,Bauchi,North East,3.488,5.607,34.23,31.4,39.3,2.08,2.38
2020-03-09,Bauchi,Bauchi,North East,4.598,6.037,37.4,28.3,23.2,3.47,3.05
2020-03-10,Bauchi,Bauchi,North East,3.872,6.065,35.47,20.0,47.1,1.63,2.78
2020-03-11,Bauchi,Bauchi,North East,5.448,5.739,34.08,38.4,12.0,2.4,0.19
2020-03-12,Bauchi,Bauchi,North East,5.583,5.911,34.73,20.0,10.4,0.1,0.2
2020-03-13,Bauchi,Bauchi,North East,5.157,5.633,33.35,20.0,20.8,3.39,1.39
2020-03-14,Bauchi,Bauchi,North East,6.529,6.529,31.54,24.8,5.9,3.23,0.76
2020-03-15,Bauchi,Bauchi,North East,5.924,6.335,34.63,20.0,33.5,3.76,1.92
2020-03-16,Bauchi,Bauchi,North East,4.365,5.036,35.07,20.0,5.6,0.25,0.24
2020-03-17,Bauchi,Bauchi,North East,4.057,5.834,34.36,20.0,36.7,2.65,4.71
2020-03-18,Bauchi,Bauchi,North East,5.041,5.041,33.82,20.0,7.5,5.83,4.01
2020-03-19,Bauchi,Bauchi,North East,4.669,5.407,37.38,32.6,22.3,2.92,2.26
2020-03-20,Bauchi,Bauchi,North East,4.898,5.399,29.62,28.5,27.5,2.53,1.05
2020-03-21,Bauchi,Bauchi,North East,3.91,5.262,34.13,22.3,44.6,1.99,0.48
2020-03-22,Bauchi,Bauchi,North East,3.762,5.497,32.19,20.0,39.0,4.18,1.32
2020-03-23,Bauchi,Bauchi,North East,5.458,5.937,34.49,20.0,12.6,4.13,6.09
2020-03-24,Bauchi,Bauchi,North East,5.941,5.941,35.75,20.0,4.7,1.28,1.33
2020-03-25,Bauchi,Bauchi,North East,5.241,5.58,33.39,39.5,16.7,3.65,0.39
2020-03-26,Bauchi,Bauchi,North East,3.749,5.328,32.69,26.2,35.9,3.9,6.02
2020-03-27,Bauchi,Bauchi,North East,4.559,5.921,32.85,22.3,23.4,4.45,0.21
2020-03-28,Bauchi,Bauchi,North East,4.491,5.593,35.19,21.4,15.1,4.78,7.97
2020-03-29,Bauchi,Bauchi,North East,4.632,5.322,35.74,38.8,17.9,3.87,0.75
2020-03-30,Bauchi,Bauchi,North East,4.724,4.724,36.23,20.0,26.6,3.3,1.32
2020-03-31,Bauchi,Bauchi,North East,3.783,5.471,34.83,20.0,34.0,4.2,1.19
2020-04-01,Bauchi,Bauchi,North East,4.903,5.629,32.1,44.9,16.8,3.72,5.86
2020-04-02,Bauchi,Bauchi,North East,5.399,5.837,33.11,20.0,9.1,4.28,0.95
2020-04-03,Bauchi,Bauchi,North East,4.077,5.691,34.56,20.3,23.7,6.43,2.47
2020-04-04,Bauchi,Bauchi,North East,4.777,5.852,30.76,25.2,22.7,3.15,0.74
2020-04-05,Bauchi,Bauchi,North East,4.115,5.542,32.83,20.6,23.4,5.04,0.85
2020-04-06,Bauchi,Bauchi,North East,3.797,5.426,33.27,20.0,17.7,0.32,1.19
2020-04-07,Bauchi,Bauchi,North East,4.862,5.633,29.91,23.4,15.5,1.54,3.46
2020-04-08,Bauchi,Bauchi,North East,4.455,5.605,33.9,29.5,29.4,3.73,0.06
2020-04-09,Bauchi,Bauchi,North East,5.012,5.831,33.6,30.3,19.7,4.47,0.82
2020-04-10,Bauchi,Bauchi,North East,4.902,5.592,30.93,25.4,13.8,3.0,3.29
2020-04-11,Bauchi,Bauchi,North East,4.485,5.289,36.56,20.0,17.7,4.15,0.06
2020-04-12,Bauchi,Bauchi,North East,4.505,4.883,33.91,20.0,28.5,4.69,0.26
2020-04-13,Bauchi,Bauchi,North East,5.062,5.355,34.25,20.0,28.5,3.16,0.96
2020-04-14,Bauchi,Bauchi,North East,4.811,5.386,37.28,20.0,25.8,2.87,3.17
2020-04-15,Bauchi,Bauchi,North East,4.329,5.73,35.21,20.0,33.6,3.17,3.35
2020-04-16,Bauchi,Bauchi,North East,4.645,5.336,32.87,20.0,23.8,4.41,1.07
2020-04-17,Bauchi,Bauchi,North East,4.737,5.852,35.67,20.0,30.7,3.4,3.71
2020-04-18,Bauchi,Bauchi,North East,5.81,5.81,36.25,20.0,13.5,2.75,2.74
2020-04-19,Bauchi,Bauchi,North East,5.014,5.1,33.24,22.3,39.4,4.89,0.0
2020-04-20,Bauchi,Bauchi,North East,4.878,5.782,34.82,20.0,33.7,4.46,0.22
2020-04-21,Bauchi,Bauchi,North East,3.664,4.927,35.27,28.7,12.5,1.45,0.93
2020-04-22,Bauchi,Bauchi,North East,5.65,5.65,28.63,30.4,9.7,3.18,0.72
2020-04-23,Bauchi,Bauchi,North East,4.011,5.296,33.47,20.0,41.0,1.58,0.36
2020-04-24,Bauchi,Bauchi,North East,5.102,5.601,32.06,20.0,20.4,4.66,2.17
