date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Benin City,Edo,South South,3.099,3.822,28.21,35.8,38.1,2.24,0.11
2020-01-02,Benin City,Edo,South South,3.153,3.875,30.77,34.9,42.1,4.74,0.01
2020-01-03,Benin City,Edo,South South,2.832,4.632,26.96,25.6,48.7,2.98,0.06
2020-01-04,Benin City,Edo,South South,2.536,3.679,28.41,26.1,40.3,1.9,0.19
2020-01-05,Benin City,Edo,South South,3.993,3.993,25.45,37.5,29.0,2.15,0.15
2020-01-06,Benin City,Edo,South South,4.182,4.182,25.1,22.6,35.0,3.4,0.06
2020-01-07,Benin City,Edo,South South,3.945,4.224,27.61,42.8,40.6,4.81,0.18
2020-01-08,Benin City,Edo,South South,3.953,4.068,31.29,28.8,41.5,4.65,0.03
2020-01-09,Benin City,Edo,South South,2.705,4.039,32.3,20.0,23.1,2.11,0.35
2020-01-10,Benin City,Edo,South South,3.128,4.042,28.45,37.5,38.9,1.51,0.7
2020-01-11,Benin City,Edo,South South,3.658,4.041,25.86,20.0,42.3,2.61,0.01
2020-01-12,Benin City,Edo,South South,2.497,3.779,32.07,23.3,41.4,4.16,0.01
2020-01-13,Benin City,Edo,South South,2.681,4.493,30.53,26.8,34.2,3.66,0.13
2020-01-14,Benin City,Edo,South South,2.944,4.353,30.58,20.4,38.7,2.54,0.04
2020-01-15,Benin City,Edo,South South,3.714,4.083,32.59,40.1,27.6,2.72,0.16
2020-01-16,Benin City,Edo,South South,2.461,3.275,30.06,33.6,29.1,4.94,0.07
2020-01-17,Benin City,Edo,South South,4.368,4.368,25.87,42.6,21.4,5.21,0.05
2020-01-18,Benin City,Edo,South South,3.03,3.946,30.85,28.1,30.4,2.88,0.1
2020-01-19,Benin City,Edo,South South,2.537,4.479,31.7,20.4,31.8,3.37,0.13
2020-01-20,Benin City,Edo,South South,2.314,3.917,29.84,32.1,55.9,6.42,0.03
2020-01-21,Benin City,Edo,South South,3.176,3.545,29.76,20.0,37.7,3.5,0.18
2020-01-22,Benin City,Edo,South South,2.502,4.061,24.83,32.6,20.3,3.16,0.09
2020-01-23,Benin City,Edo,South South,2.662,3.594,32.23,29.5,59.9,0.77,0.06
2020-01-24,Benin City,Edo,South South,3.92,3.92,31.01,43.5,33.3,4.47,0.02
2020-01-25,Benin City,Edo,South South,2.422,3.833,27.82,20.0,43.0,2.68,0.06
2020-01-26,Benin City,Edo,South South,3.339,3.984,32.77,52.8,41.2,5.37,0.03
2020-01-27,Benin City,Edo,South South,3.133,3.473,28.88,25.6,54.1,4.13,0.02
2020-01-28,Benin City,Edo,South South,3.454,3.946,28.34,26.8,33.7,3.3,0.03
2020-01-29,Benin City,Edo,South South,2.855,4.191,30.02,20.0,34.1,1.25,0.06
2020-01-30,Benin City,Edo,South South,1.998,3.826,31.98,37.0,36.9,5.15,0.18
2020-01-31,Benin City,Edo,South South,1.586,3.777,29.86,24.4,52.4,1.2,0.22
2020-02-01,Benin City,Edo,South South,2.73,4.542,30.57,56.3,65.9,1.68,1.51
2020-02-02,Benin City,Edo,South South,1.939,3.782,25.71,46.1,71.4,3.62,0.65
2020-02-03,Benin City,Edo,South South,3.429,4.293,24.91,53.8,57.1,2.37,1.1
2020-02-04,Benin City,Edo,South South,2.159,3.933,27.27,46.2,64.5,5.53,1.42
2020-02-05,Benin City,Edo,South South,2.272,3.871,31.48,51.4,73.9,1.86,0.06
2020-02-06,Benin City,Edo,South South,1.907,4.645,25.32,59.7,90.7,4.77,3.25
2020-02-07,Benin City,Edo,South South,2.412,4.202,27.72,60.0,83.4,2.78,1.47
2020-02-08,Benin City,Edo,South South,3.063,4.215,25.57,60.0,62.9,4.74,3.26
2020-02-09,Benin City,Edo,South South,2.189,3.357,30.42,48.2,65.7,3.19,5.53
2020-02-10,Benin City,Edo,South South,2.409,4.424,26.62,52.1,64.2,3.79,0.09
2020-02-11,Benin City,Edo,South South,2.316,3.533,27.51,53.6,71.9,2.8,2.98
2020-02-12,Benin City,Edo,South South,1.721,3.893,25.59,82.9,69.9,4.63,0.18
2020-02-13,Benin City,Edo,South South,1.886,4.143,26.35,72.2,57.0,1.44,4.28
2020-02-14,Benin City,Edo,South South,2.721,4.094,26.88,51.1,74.5,3.41,2.91
