date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Calabar,Cross River,South South,3.681,3.88,32.94,22.5,40.0,4.0,0.01
2020-01-02,Calabar,Cross River,South South,2.348,3.816,30.34,35.8,32.7,3.89,0.01
2020-01-03,Calabar,Cross River,South South,2.679,4.112,29.0,20.0,33.3,1.76,0.1
2020-01-04,Calabar,Cross River,South South,2.76,3.996,28.65,35.9,60.4,3.55,0.06
2020-01-05,Calabar,Cross River,South South,2.938,3.509,29.39,20.3,27.6,3.18,0.22
2020-01-06,Calabar,Cross River,South South,2.801,3.859,27.99,21.5,45.9,2.35,0.15
2020-01-07,Calabar,Cross River,South South,2.823,3.631,30.98,39.7,54.7,4.72,0.29
2020-01-08,Calabar,Cross River,South South,3.054,3.84,27.85,32.1,24.7,3.41,0.15
2020-01-09,Calabar,Cross River,South South,1.939,4.571,34.33,27.3,57.7,2.47,0.01
2020-01-10,Calabar,Cross River,South South,3.233,3.942,26.01,37.3,43.4,5.47,0.78
2020-01-11,Calabar,Cross River,South South,3.677,4.188,26.61,39.5,20.7,2.07,0.1
2020-01-12,Calabar,Cross River,South South,2.76,4.486,28.66,24.4,31.7,2.33,0.01
2020-01-13,Calabar,Cross River,South South,3.053,3.701,27.07,43.9,28.8,5.1,0.0
2020-01-14,Calabar,Cross River,South South,2.415,3.879,31.07,20.0,22.4,2.75,0.19
2020-01-15,Calabar,Cross River,South South,3.045,4.458,28.91,43.8,43.8,4.38,0.12
2020-01-16,Calabar,Cross River,South South,2.349,4.187,29.74,20.0,8.2,2.28,0.19
2020-01-17,Calabar,Cross River,South South,3.32,3.32,30.25,39.5,36.1,0.13,0.04
2020-01-18,Calabar,Cross River,South South,2.852,3.972,24.88,28.3,40.4,5.03,0.04
2020-01-19,Calabar,Cross River,South South,3.208,3.867,28.62,40.8,49.2,3.54,0.03
2020-01-20,Calabar,Cross River,South South,1.983,3.912,28.14,38.6,62.1,4.02,0.03
2020-01-21,Calabar,Cross River,South South,3.379,4.163,29.41,46.3,40.8,5.66,0.13
2020-01-22,Calabar,Cross River,South South,2.625,4.324,31.03,24.4,59.0,2.23,0.22
