date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Enugu,Enugu,South East,3.667,4.376,30.13,23.6,35.4,3.47,0.09
2020-01-02,Enugu,Enugu,South East,3.01,4.335,29.61,38.8,51.9,2.72,0.07
2020-01-03,Enugu,Enugu,South East,2.582,4.429,30.6,42.1,34.6,2.91,0.09
2020-01-04,Enugu,Enugu,South East,3.441,4.426,30.24,31.4,34.2,3.15,0.05
2020-01-05,Enugu,Enugu,South East,2.799,3.686,25.97,33.7,55.1,1.3,0.01
2020-01-06,Enugu,Enugu,South East,2.831,4.326,30.78,20.0,61.6,3.0,0.11
2020-01-07,Enugu,Enugu,South East,1.908,4.315,31.23,38.8,51.9,4.4,0.04
2020-01-08,Enugu,Enugu,South East,3.406,4.332,26.33,21.6,31.3,4.13,0.19
2020-01-09,Enugu,Enugu,South East,4.622,4.622,29.12,26.0,21.8,5.17,0.06
2020-01-10,Enugu,Enugu,South East,2.708,5.03,25.86,43.3,50.8,5.24,0.11
2020-01-11,Enugu,Enugu,South East,2.268,4.215,29.18,35.5,30.1,1.49,0.07
2020-01-12,Enugu,Enugu,South East,2.86,4.061,34.81,20.0,25.4,5.46,0.08
2020-01-13,Enugu,Enugu,South East,2.325,4.121,32.73,33.2,39.9,1.35,0.01
2020-01-14,Enugu,Enugu,South East,2.723,4.118,30.05,20.0,54.8,2.86,0.01
2020-01-15,Enugu,Enugu,South East,2.714,4.505,32.91,43.3,26.5,4.21,0.03
2020-01-16,Enugu,Enugu,South East,2.817,4.421,29.78,28.7,31.7,5.15,0.1
2020-01-17,Enugu,Enugu,South East,3.191,4.215,31.69,30.4,38.9,2.54,0.03
2020-01-18,Enugu,Enugu,South East,3.386,4.616,29.47,20.0,22.7,5.21,0.05
2020-01-19,Enugu,Enugu,South East,3.453,4.188,31.76,25.5,61.9,3.81,0.2
2020-01-20,Enugu,Enugu,South East,4.018,4.522,29.86,34.6,27.9,1.99,0.19
2020-01-21,Enugu,Enugu,South East,3.081,3.904,30.69,20.0,53.5,2.21,0.18
