date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Ibadan,Oyo,South West,3.81,4.503,30.78,20.0,44.8,3.72,0.03
2020-01-02,Ibadan,Oyo,South West,4.23,4.339,29.73,20.0,11.7,5.09,0.06
2020-01-03,Ibadan,Oyo,South West,3.68,4.679,30.29,31.8,29.2,3.49,0.22
2020-01-04,Ibadan,Oyo,South West,3.809,4.083,27.13,25.8,34.5,2.69,0.13
2020-01-05,Ibadan,Oyo,South West,3.063,4.026,29.56,20.0,38.1,4.18,0.23
2020-01-06,Ibadan,Oyo,South West,3.253,4.368,32.34,24.7,21.2,2.84,0.01
2020-01-07,Ibadan,Oyo,South West,3.423,4.536,26.79,20.0,35.7,1.75,0.0
2020-01-08,Ibadan,Oyo,South West,3.161,4.677,29.82,24.8,58.3,2.71,0.04
2020-01-09,Ibadan,Oyo,South West,3.962,4.602,27.98,26.5,24.4,0.23,0.27
2020-01-10,Ibadan,Oyo,South West,3.596,4.491,32.18,20.0,26.3,1.2,0.11
2020-01-11,Ibadan,Oyo,South West,3.465,4.179,28.25,20.0,26.8,2.61,0.01
2020-01-12,Ibadan,Oyo,South West,3.267,4.341,30.34,21.6,23.9,5.24,0.03
2020-01-13,Ibadan,Oyo,South West,4.058,4.51,30.48,22.1,36.5,3.44,0.21
2020-01-14,Ibadan,Oyo,South West,3.463,4.074,27.1,23.9,32.9,3.15,0.22
2020-01-15,Ibadan,Oyo,South West,3.506,4.383,29.35,20.0,28.7,2.44,0.21
2020-01-16,Ibadan,Oyo,South West,2.622,4.089,30.53,27.9,27.3,1.01,0.03
2020-01-17,Ibadan,Oyo,South West,2.909,4.31,28.45,20.0,57.3,2.82,0.17
2020-01-18,Ibadan,Oyo,South West,3.009,4.2,30.12,38.9,52.4,3.91,0.09
2020-01-19,Ibadan,Oyo,South West,4.273,4.615,25.77,20.0,18.5,3.13,0.13
2020-01-20,Ibadan,Oyo,South West,3.28,4.645,30.88,37.3,42.0,3.32,0.02
2020-01-21,Ibadan,Oyo,South West,3.963,4.526,34.37,36.1,21.3,2.24,0.08
2020-01-22,Ibadan,Oyo,South West,2.322,4.433,30.98,41.5,51.7,4.34,0.14
2020-01-23,Ibadan,Oyo,South West,3.743,4.421,28.56,20.0,14.8,3.31,0.04
2020-01-24,Ibadan,Oyo,South West,3.947,4.989,29.79,23.3,15.8,2.05,0.17
2020-01-25,Ibadan,Oyo,South West,4.487,4.487,31.7,23.6,33.6,5.08,0.02
2020-01-26,Ibadan,Oyo,South West,3.076,4.503,33.22,36.7,45.6,2.82,0.09
2020-01-27,Ibadan,Oyo,South West,3.024,4.302,31.87,31.3,30.0,3.82,0.02
2020-01-28,Ibadan,Oyo,South West,4.171,4.458,33.23,38.2,37.6,4.48,0.18
2020-01-29,Ibadan,Oyo,South West,2.797,4.393,29.61,23.4,48.0,3.4,0.12
2020-01-30,Ibadan,Oyo,South West,4.169,4.376,30.26,21.6,13.5,3.24,0.15
2020-01-31,Ibadan,Oyo,South West,3.7,4.164,28.39,27.3,24.0,5.29,0.2
2020-02-01,Ibadan,Oyo,South West,3.159,4.616,24.85,40.6,62.4,5.88,4.24
2020-02-02,Ibadan,Oyo,South West,2.875,4.228,23.27,53.5,65.4,4.94,0.09
2020-02-03,Ibadan,Oyo,South West,2.812,4.205,30.22,63.7,60.9,3.3,0.1
2020-02-04,Ibadan,Oyo,South West,3.1,4.2,25.67,36.7,47.1,1.99,0.53
2020-02-05,Ibadan,Oyo,South West,2.957,4.224,25.33,82.3,71.8,4.67,4.39
2020-02-06,Ibadan,Oyo,South West,3.401,4.891,27.24,23.1,57.8,2.17,2.05
2020-02-07,Ibadan,Oyo,South West,2.399,4.122,27.9,56.4,57.9,4.99,0.88
2020-02-08,Ibadan,Oyo,South West,3.31,4.62,24.65,31.5,81.4,2.68,0.14
2020-02-09,Ibadan,Oyo,South West,2.77,5.092,29.88,34.0,52.9,5.76,1.09
2020-02-10,Ibadan,Oyo,South West,2.621,4.4,28.52,45.1,75.6,3.72,2.12
2020-02-11,Ibadan,Oyo,South West,1.884,4.056,28.44,32.1,86.8,2.9,0.3
2020-02-12,Ibadan,Oyo,South West,2.217,4.49,29.27,57.6,74.0,6.49,0.09
2020-02-13,Ibadan,Oyo,South West,2.903,4.414,28.38,47.1,67.9,3.67,2.0
2020-02-14,Ibadan,Oyo,South West,3.122,4.191,29.44,59.6,69.0,1.82,0.83
2020-02-15,Ibadan,Oyo,South West,1.713,4.752,25.27,53.5,59.5,2.48,7.88
