date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Ilorin,Kwara,North Central,4.27,5.018,31.37,31.2,1.6,1.83,0.06
2020-01-02,Ilorin,Kwara,North Central,3.898,4.275,31.11,25.3,18.4,2.91,0.23
2020-01-03,Ilorin,Kwara,North Central,3.804,5.341,31.05,20.0,30.9,6.67,0.07
2020-01-04,Ilorin,Kwara,North Central,3.902,5.364,34.59,20.0,21.2,2.88,0.13
2020-01-05,Ilorin,Kwara,North Central,4.622,4.861,32.92,31.4,14.3,5.67,0.08
2020-01-06,Ilorin,Kwara,North Central,5.214,5.385,37.24,31.5,10.2,2.33,0.18
2020-01-07,Ilorin,Kwara,North Central,4.6,5.144,31.52,39.1,3.8,2.73,0.06
2020-01-08,Ilorin,Kwara,North Central,3.713,5.462,32.1,20.0,38.9,2.77,0.22
2020-01-09,Ilorin,Kwara,North Central,3.658,5.283,30.74,20.0,21.8,4.23,0.02
2020-01-10,Ilorin,Kwara,North Central,4.019,5.716,32.71,20.0,36.5,4.31,0.06
2020-01-11,Ilorin,Kwara,North Central,5.21,5.21,28.07,20.0,24.8,2.11,0.42
2020-01-12,Ilorin,Kwara,North Central,4.546,4.837,33.55,20.0,1.7,5.57,0.03
2020-01-13,Ilorin,Kwara,North Central,4.197,4.419,37.05,20.0,32.2,0.82,0.01
2020-01-14,Ilorin,Kwara,North Central,3.809,5.08,31.6,23.7,38.6,6.25,0.1
2020-01-15,Ilorin,Kwara,North Central,4.912,5.22,35.88,22.9,10.9,1.65,0.05
2020-01-16,Ilorin,Kwara,North Central,5.36,5.36,32.74,20.0,0.0,4.17,0.08
2020-01-17,Ilorin,Kwara,North Central,3.888,5.006,34.91,20.0,24.6,4.31,0.04
2020-01-18,Ilorin,Kwara,North Central,5.825,5.825,36.63,20.0,1.8,6.64,0.06
2020-01-19,Ilorin,Kwara,North Central,3.505,5.341,33.57,43.1,27.6,1.63,0.22
2020-01-20,Ilorin,Kwara,North Central,3.708,5.238,32.01,22.4,18.4,4.46,0.35
2020-01-21,Ilorin,Kwara,North Central,4.756,5.022,30.88,20.0,18.1,4.61,0.09
2020-01-22,Ilorin,Kwara,North Central,4.983,5.204,30.57,20.0,24.9,6.3,0.01
2020-01-23,Ilorin,Kwara,North Central,4.473,4.938,29.72,27.6,12.7,3.13,0.02
2020-01-24,Ilorin,Kwara,North Central,5.151,5.453,32.3,20.0,10.1,1.73,0.4
2020-01-25,Ilorin,Kwara,North Central,3.544,4.947,33.27,20.1,18.5,3.29,0.06
2020-01-26,Ilorin,Kwara,North Central,3.451,5.284,34.37,32.3,41.8,2.48,0.08
2020-01-27,Ilorin,Kwara,North Central,4.681,5.086,31.08,27.7,12.9,3.77,0.07
2020-01-28,Ilorin,Kwara,North Central,3.161,5.634,33.62,20.0,56.2,2.8,0.05
2020-01-29,Ilorin,Kwara,North Central,4.801,5.128,35.5,25.9,11.4,1.42,0.09
2020-01-30,Ilorin,Kwara,North Central,4.672,4.73,32.81,23.7,29.8,4.2,0.0
2020-01-31,Ilorin,Kwara,North Central,5.413,5.413,35.94,20.0,7.3,4.22,0.16
2020-02-01,Ilorin,Kwara,North Central,3.55,4.892,31.67,30.6,25.2,5.75,0.08
2020-02-02,Ilorin,Kwara,North Central,3.865,3.958,33.24,28.3,31.8,2.95,0.08
2020-02-03,Ilorin,Kwara,North Central,4.781,5.264,32.56,20.0,16.8,3.86,0.03
2020-02-04,Ilorin,Kwara,North Central,5.505,5.505,30.54,20.0,7.1,3.85,0.01
2020-02-05,Ilorin,Kwara,North Central,4.16,5.394,34.31,20.0,36.6,3.6,0.06
2020-02-06,Ilorin,Kwara,North Central,4.696,5.571,31.73,25.2,17.6,2.13,0.04
2020-02-07,Ilorin,Kwara,North Central,4.384,4.826,36.7,20.0,19.5,3.61,0.06
2020-02-08,Ilorin,Kwara,North Central,3.657,4.97,33.55,20.0,21.4,2.5,0.01
2020-02-09,Ilorin,Kwara,North Central,4.741,4.745,34.11,20.0,25.1,2.38,0.24
2020-02-10,Ilorin,Kwara,North Central,4.07,5.226,29.97,38.0,2.7,2.0,0.12
2020-02-11,Ilorin,Kwara,North Central,4.189,5.182,31.86,20.3,28.3,5.79,0.06
2020-02-12,Ilorin,Kwara,North Central,3.361,4.899,34.34,20.2,40.8,0.85,0.01
2020-02-13,Ilorin,Kwara,North Central,3.912,4.873,32.42,31.4,32.7,3.52,0.0
2020-02-14,Ilorin,Kwara,North Central,4.104,5.008,29.34,20.0,30.0,3.69,0.13
2020-02-15,Ilorin,Kwara,North Central,5.0,5.221,29.48,29.3,7.1,3.33,0.12
2020-02-16,Ilorin,Kwara,North Central,3.839,5.095,31.66,20.6,31.6,1.55,0.02
2020-02-17,Ilorin,Kwara,North Central,4.96,5.513,32.9,20.4,2.0,3.01,0.04
2020-02-18,Ilorin,Kwara,North Central,4.842,4.864,32.34,20.0,18.2,3.85,0.11
2020-02-19,Ilorin,Kwara,North Central,3.952,5.137,33.74,27.1,29.6,3.84,0.04
2020-02-20,Ilorin,Kwara,North Central,3.013,5.156,29.84,23.2,35.8,3.94,0.11
2020-02-21,Ilorin,Kwara,North Central,4.021,4.69,32.71,20.0,28.1,1.5,0.17
2020-02-22,Ilorin,Kwara,North Central,3.752,5.326,35.49,21.7,46.4,4.19,0.06
2020-02-23,Ilorin,Kwara,North Central,4.649,5.321,31.09,20.9,32.5,2.7,0.01
2020-02-24,Ilorin,Kwara,North Central,4.507,4.952,32.32,20.0,16.4,4.3,0.16
2020-02-25,Ilorin,Kwara,North Central,4.113,5.288,31.01,20.0,21.4,3.4,0.0
2020-02-26,Ilorin,Kwara,North Central,4.319,5.334,31.57,20.0,31.8,3.74,0.02
2020-02-27,Ilorin,Kwara,North Central,3.458,5.161,33.56,20.0,37.1,4.93,0.09
2020-02-28,Ilorin,Kwara,North Central,4.017,5.272,33.49,20.0,12.0,3.63,0.03
2020-02-29,Ilorin,Kwara,North Central,4.865,5.547,31.8,24.8,12.1,1.88,0.07
2020-03-01,Ilorin,Kwara,North Central,3.771,5.021,30.32,43.2,43.2,0.38,0.01
2020-03-02,Ilorin,Kwara,North Central,4.08,4.999,30.42,33.9,34.0,2.04,1.26
2020-03-03,Ilorin,Kwara,North Central,3.756,5.138,30.59,26.5,48.1,5.35,2.59
2020-03-04,Ilorin,Kwara,North Central,3.912,5.402,34.29,20.0,41.4,5.12,0.9
2020-03-05,Ilorin,Kwara,North Central,4.625,5.229,31.45,46.5,31.8,2.99,4.17
2020-03-06,Ilorin,Kwara,North Central,4.641,5.374,31.93,24.1,33.9,4.88,10.25
2020-03-07,Ilorin,Kwara,North Central,5.131,5.382,30.31,52.9,27.6,3.65,0.25
2020-03-08,Ilorin,Kwara,North Central,3.846,5.511,29.84,27.4,39.7,6.71,9.01
2020-03-09,Ilorin,Kwara,North Central,3.919,5.442,30.64,27.9,50.5,3.49,5.7
2020-03-10,Ilorin,Kwara,North Central,3.674,4.678,32.46,28.3,48.4,4.63,0.62
2020-03-11,Ilorin,Kwara,North Central,3.744,5.391,34.12,20.0,49.4,4.55,1.51
2020-03-12,Ilorin,Kwara,North Central,4.984,4.984,33.19,20.0,22.7,2.23,0.88
2020-03-13,Ilorin,Kwara,North Central,3.442,4.993,29.8,38.8,50.3,3.45,1.14
2020-03-14,Ilorin,Kwara,North Central,3.75,4.881,30.17,48.3,49.8,5.79,0.4
2020-03-15,Ilorin,Kwara,North Central,3.59,5.185,32.84,34.3,41.4,3.51,3.62
2020-03-16,Ilorin,Kwara,North Central,3.786,4.556,28.32,40.0,41.2,2.02,0.41
2020-03-17,Ilorin,Kwara,North Central,4.254,4.446,28.32,31.8,29.5,4.15,0.07
2020-03-18,Ilorin,Kwara,North Central,3.86,4.944,28.76,23.2,48.2,3.98,2.65
2020-03-19,Ilorin,Kwara,North Central,3.218,5.162,31.13,32.5,52.2,4.39,4.19
2020-03-20,Ilorin,Kwara,North Central,3.962,5.299,26.93,26.9,61.0,3.09,0.62
2020-03-21,Ilorin,Kwara,North Central,3.701,5.031,29.05,51.0,49.2,1.19,3.29
2020-03-22,Ilorin,Kwara,North Central,4.983,4.983,28.26,20.0,19.6,4.47,0.78
2020-03-23,Ilorin,Kwara,North Central,3.961,5.15,30.62,26.5,21.4,3.32,0.72
2020-03-24,Ilorin,Kwara,North Central,4.052,4.996,29.69,20.0,33.2,1.11,1.45
2020-03-25,Ilorin,Kwara,North Central,4.539,4.598,31.27,41.4,47.0,4.03,0.7
2020-03-26,Ilorin,Kwara,North Central,3.777,5.407,31.62,26.0,51.4,4.47,0.66
2020-03-27,Ilorin,Kwara,North Central,3.51,5.058,31.38,20.0,44.3,3.62,0.17
2020-03-28,Ilorin,Kwara,North Central,4.341,5.04,34.51,27.0,34.6,2.85,4.92
