date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Kaduna,Kaduna,North West,4.626,5.438,36.39,20.0,6.4,1.14,0.06
2020-01-02,Kaduna,Kaduna,North West,4.513,5.626,36.34,24.6,32.5,0.11,0.14
2020-01-03,Kaduna,Kaduna,North West,5.855,5.855,33.39,20.0,9.4,3.49,0.01
2020-01-04,Kaduna,Kaduna,North West,3.991,5.645,36.29,20.8,17.5,3.86,0.02
2020-01-05,Kaduna,Kaduna,North West,4.785,5.796,34.23,20.0,26.7,4.08,0.03
2020-01-06,Kaduna,Kaduna,North West,4.244,5.126,35.61,20.0,39.5,1.85,0.14
2020-01-07,Kaduna,Kaduna,North West,4.975,5.66,33.02,20.0,15.8,4.37,0.01
2020-01-08,Kaduna,Kaduna,North West,4.73,5.258,28.06,20.0,8.3,0.42,0.07
2020-01-09,Kaduna,Kaduna,North West,4.139,5.326,32.6,29.7,38.4,1.43,0.08
2020-01-10,Kaduna,Kaduna,North West,4.528,5.877,33.6,20.0,9.9,1.97,0.08
2020-01-11,Kaduna,Kaduna,North West,5.515,5.515,31.92,26.8,1.8,3.79,0.27
2020-01-12,Kaduna,Kaduna,North West,4.254,5.79,35.24,20.0,28.8,3.37,0.35
2020-01-13,Kaduna,Kaduna,North West,4.839,5.306,34.41,20.0,16.3,3.15,0.09
2020-01-14,Kaduna,Kaduna,North West,5.137,5.432,35.42,20.0,6.1,2.19,0.05
2020-01-15,Kaduna,Kaduna,North West,4.566,5.672,30.97,20.0,24.9,1.94,0.0
2020-01-16,Kaduna,Kaduna,North West,4.334,5.868,33.17,20.0,24.3,6.2,0.12
2020-01-17,Kaduna,Kaduna,North West,5.252,5.332,36.07,20.0,7.4,2.36,0.19
2020-01-18,Kaduna,Kaduna,North West,3.952,5.67,33.36,20.0,19.4,5.6,0.03
2020-01-19,Kaduna,Kaduna,North West,4.758,5.284,37.97,21.8,11.8,5.0,0.03
2020-01-20,Kaduna,Kaduna,North West,4.991,5.636,36.44,21.6,12.7,5.32,0.22
2020-01-21,Kaduna,Kaduna,North West,4.616,5.757,37.01,28.1,7.0,3.77,0.1
