date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Kano,Kano,North West,5.398,5.776,35.37,20.0,3.4,2.28,0.03
2020-01-02,Kano,Kano,North West,5.678,5.678,34.03,22.5,10.6,6.55,0.28
2020-01-03,Kano,Kano,North West,5.291,5.749,32.93,20.0,11.6,2.69,0.08
2020-01-04,Kano,Kano,North West,5.063,5.487,36.27,32.6,12.0,2.41,0.0
2020-01-05,Kano,Kano,North West,4.638,5.861,34.92,20.0,22.6,6.4,0.11
2020-01-06,Kano,Kano,North West,4.082,5.557,35.89,20.0,38.9,3.87,0.01
2020-01-07,Kano,Kano,North West,5.063,5.445,32.08,20.0,33.8,6.29,0.06
2020-01-08,Kano,Kano,North West,5.522,5.671,36.28,20.0,0.9,3.14,0.32
2020-01-09,Kano,Kano,North West,4.634,5.928,35.19,20.4,16.4,4.53,0.19
2020-01-10,Kano,Kano,North West,5.507,5.507,32.89,20.0,21.1,0.02,0.01
2020-01-11,Kano,Kano,North West,4.516,5.893,32.18,25.6,31.7,2.97,0.07
2020-01-12,Kano,Kano,North West,4.405,5.769,36.37,20.0,6.8,2.71,0.03
2020-01-13,Kano,Kano,North West,4.543,5.328,33.51,20.0,20.9,0.16,0.04
2020-01-14,Kano,Kano,North West,5.856,5.856,33.16,20.0,0.0,4.32,0.02
2020-01-15,Kano,Kano,North West,4.42,5.791,35.95,20.0,7.3,4.72,0.01
2020-01-16,Kano,Kano,North West,4.762,5.725,35.99,21.6,5.2,3.28,0.34
2020-01-17,Kano,Kano,North West,5.306,5.438,34.88,20.0,0.0,2.89,0.02
2020-01-18,Kano,Kano,North West,5.821,6.225,34.36,20.0,0.0,3.95,0.19
2020-01-19,Kano,Kano,North West,4.79,5.808,34.78,20.0,29.1,2.09,0.13
2020-01-20,Kano,Kano,North West,5.271,6.062,36.53,20.0,3.0,4.64,0.11
2020-01-21,Kano,Kano,North West,4.722,5.169,33.7,20.0,11.8,2.31,0.21
