date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Lagos,Lagos,South West,3.768,4.604,33.05,22.4,31.3,3.15,0.01
2020-01-02,Lagos,Lagos,South West,3.349,4.236,28.95,20.0,45.1,2.11,0.07
2020-01-03,Lagos,Lagos,South West,2.608,4.106,30.63,20.0,26.3,1.38,0.06
2020-01-04,Lagos,Lagos,South West,2.976,5.178,30.79,26.0,40.2,2.73,0.02
2020-01-05,Lagos,Lagos,South West,3.191,4.229,33.7,24.6,29.5,1.91,0.0
2020-01-06,Lagos,Lagos,South West,3.237,4.03,32.18,52.5,37.7,5.29,0.02
2020-01-07,Lagos,Lagos,South West,3.816,4.375,29.4,20.0,35.1,2.42,0.18
2020-01-08,Lagos,Lagos,South West,2.887,4.071,30.27,30.6,22.4,4.83,0.13
2020-01-09,Lagos,Lagos,South West,3.061,4.509,31.95,20.0,29.3,3.22,0.04
2020-01-10,Lagos,Lagos,South West,4.372,4.66,30.59,20.0,22.2,3.39,0.12
2020-01-11,Lagos,Lagos,South West,3.252,4.399,33.13,20.0,51.5,4.73,0.0
2020-01-12,Lagos,Lagos,South West,2.475,4.681,30.04,20.0,45.5,1.26,0.14
2020-01-13,Lagos,Lagos,South West,3.12,4.685,30.66,20.0,27.0,4.27,0.22
2020-01-14,Lagos,Lagos,South West,4.16,4.317,31.35,22.2,35.1,2.95,0.06
2020-01-15,Lagos,Lagos,South West,3.552,4.412,29.53,20.0,36.1,2.87,0.01
2020-01-16,Lagos,Lagos,South West,3.751,4.474,25.96,20.0,31.0,5.61,0.36
2020-01-17,Lagos,Lagos,South West,2.404,4.428,34.93,22.8,32.7,3.95,0.02
2020-01-18,Lagos,Lagos,South West,3.646,4.64,27.7,20.0,32.9,4.66,0.13
2020-01-19,Lagos,Lagos,South West,4.656,4.656,34.38,20.0,16.2,2.65,0.0
2020-01-20,Lagos,Lagos,South West,4.121,4.413,29.27,31.2,43.5,1.67,0.02
2020-01-21,Lagos,Lagos,South West,2.622,4.175,29.36,32.9,51.6,1.65,0.17
2020-01-22,Lagos,Lagos,South West,3.441,4.313,29.59,20.0,63.5,5.29,0.04
2020-01-23,Lagos,Lagos,South West,3.665,4.485,30.69,20.0,36.6,3.85,0.02
2020-01-24,Lagos,Lagos,South West,3.364,4.462,27.57,35.2,43.2,5.49,0.03
2020-01-25,Lagos,Lagos,South West,2.755,4.758,28.36,34.4,42.4,4.12,0.11
2020-01-26,Lagos,Lagos,South West,2.948,3.999,28.46,33.5,34.8,3.14,0.1
