date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Lokoja,Kogi,North Central,4.668,5.346,32.84,44.2,25.8,2.33,0.0
2020-01-02,Lokoja,Kogi,North Central,4.027,4.787,36.23,20.0,24.2,3.74,0.13
2020-01-03,Lokoja,Kogi,North Central,4.679,4.713,28.76,20.0,14.3,4.74,0.08
2020-01-04,Lokoja,Kogi,North Central,3.818,5.428,34.04,20.0,20.7,2.69,0.12
2020-01-05,Lokoja,Kogi,North Central,4.652,4.935,32.05,22.1,14.9,3.17,0.1
2020-01-06,Lokoja,Kogi,North Central,4.299,4.995,32.3,20.0,28.1,4.46,0.08
2020-01-07,Lokoja,Kogi,North Central,4.345,5.303,30.02,20.0,20.6,5.08,0.15
2020-01-08,Lokoja,Kogi,North Central,2.969,4.745,33.98,20.0,56.0,4.54,0.01
2020-01-09,Lokoja,Kogi,North Central,4.448,4.697,30.73,27.2,23.9,3.33,0.09
2020-01-10,Lokoja,Kogi,North Central,4.559,4.651,31.91,20.0,21.7,0.67,0.05
2020-01-11,Lokoja,Kogi,North Central,3.62,5.523,33.13,26.7,7.9,3.76,0.32
2020-01-12,Lokoja,Kogi,North Central,4.357,5.33,31.55,23.5,9.0,4.25,0.23
2020-01-13,Lokoja,Kogi,North Central,5.278,5.278,30.23,23.1,0.0,5.21,0.08
2020-01-14,Lokoja,Kogi,North Central,4.921,4.921,30.35,20.0,8.4,1.34,0.01
2020-01-15,Lokoja,Kogi,North Central,5.548,5.548,32.33,20.0,10.3,0.28,0.01
2020-01-16,Lokoja,Kogi,North Central,4.706,5.408,33.06,20.0,30.0,5.1,0.04
2020-01-17,Lokoja,Kogi,North Central,4.061,4.858,30.69,20.0,18.5,4.15,0.12
2020-01-18,Lokoja,Kogi,North Central,3.532,5.093,31.93,20.0,46.7,3.13,0.19
2020-01-19,Lokoja,Kogi,North Central,4.439,4.842,34.18,28.6,13.8,3.73,0.05
2020-01-20,Lokoja,Kogi,North Central,3.774,5.44,32.77,20.0,6.8,3.96,0.04
2020-01-21,Lokoja,Kogi,North Central,5.388,5.388,34.82,22.7,13.6,3.35,0.13
2020-01-22,Lokoja,Kogi,North Central,4.893,5.463,31.9,20.0,0.0,2.08,0.11
2020-01-23,Lokoja,Kogi,North Central,4.326,5.144,28.4,20.0,30.7,0.6,0.1
2020-01-24,Lokoja,Kogi,North Central,2.875,5.474,31.83,23.3,42.1,1.92,0.08
2020-01-25,Lokoja,Kogi,North Central,3.877,5.249,34.15,20.0,26.4,5.79,0.18
2020-01-26,Lokoja,Kogi,North Central,3.87,5.317,34.61,20.0,26.9,3.96,0.12
2020-01-27,Lokoja,Kogi,North Central,4.319,4.665,33.88,26.9,16.3,3.16,0.35
2020-01-28,Lokoja,Kogi,North Central,4.169,4.382,29.31,20.0,25.8,0.39,0.23
2020-01-29,Lokoja,Kogi,North Central,3.841,5.341,35.29,35.0,25.7,3.01,0.13
