date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Maiduguri,Borno,North East,4.934,5.669,33.6,20.0,6.6,3.51,0.01
2020-01-02,Maiduguri,Borno,North East,4.262,5.649,35.31,20.0,27.0,4.34,0.11
2020-01-03,Maiduguri,Borno,North East,4.391,5.41,36.08,20.0,5.9,3.96,0.06
2020-01-04,Maiduguri,Borno,North East,5.026,5.339,35.9,20.0,32.2,2.53,0.05
2020-01-05,Maiduguri,Borno,North East,5.694,5.694,39.6,20.0,16.8,2.16,0.13
2020-01-06,Maiduguri,Borno,North East,3.971,5.427,38.43,20.0,9.6,1.02,0.05
2020-01-07,Maiduguri,Borno,North East,5.53,5.574,35.43,23.0,10.6,5.16,0.02
2020-01-08,Maiduguri,Borno,North East,3.965,5.298,34.05,20.0,21.6,4.23,0.08
2020-01-09,Maiduguri,Borno,North East,5.015,5.296,33.76,20.0,19.2,3.7,0.1
2020-01-10,Maiduguri,Borno,North East,4.772,5.533,35.86,20.0,17.6,2.74,0.12
2020-01-11,Maiduguri,Borno,North East,5.228,5.56,36.31,21.5,3.9,4.55,0.27
2020-01-12,Maiduguri,Borno,North East,6.149,6.149,36.66,20.0,5.7,4.73,0.01
2020-01-13,Maiduguri,Borno,North East,5.055,5.137,32.97,20.0,29.4,1.57,0.08
2020-01-14,Maiduguri,Borno,North East,4.683,5.487,36.47,20.0,24.7,3.54,0.13
2020-01-15,Maiduguri,Borno,North East,4.895,5.275,37.28,20.0,19.2,4.37,0.6
2020-01-16,Maiduguri,Borno,North East,4.359,5.928,37.53,30.9,11.8,5.7,0.02
2020-01-17,Maiduguri,Borno,North East,4.817,5.133,35.79,20.0,0.0,3.73,0.12
2020-01-18,Maiduguri,Borno,North East,4.998,6.101,37.03,21.0,9.0,0.73,0.02
2020-01-19,Maiduguri,Borno,North East,6.3,6.3,31.83,20.0,0.0,0.98,0.17
2020-01-20,Maiduguri,Borno,North East,5.185,5.185,34.62,20.0,17.4,4.93,0.02
2020-01-21,Maiduguri,Borno,North East,5.002,5.984,36.72,23.0,6.7,5.2,0.04
2020-01-22,Maiduguri,Borno,North East,5.105,5.41,37.44,20.0,30.1,2.61,0.29
2020-01-23,Maiduguri,Borno,North East,5.401,5.462,39.67,20.0,13.0,4.89,0.11
2020-01-24,Maiduguri,Borno,North East,4.892,5.686,39.59,20.0,13.4,2.33,0.02
2020-01-25,Maiduguri,Borno,North East,4.824,5.908,37.17,20.0,23.3,3.88,0.19
2020-01-26,Maiduguri,Borno,North East,5.292,5.471,35.55,20.0,0.0,3.74,0.13
2020-01-27,Maiduguri,Borno,North East,5.135,5.726,36.06,20.0,3.9,4.59,0.17
2020-01-28,Maiduguri,Borno,North East,4.783,5.695,37.18,25.2,15.5,4.89,0.17
2020-01-29,Maiduguri,Borno,North East,5.093,5.854,35.14,20.0,14.9,5.54,0.18
2020-01-30,Maiduguri,Borno,North East,4.318,5.609,38.26,20.0,10.6,2.33,0.05
2020-01-31,Maiduguri,Borno,North East,4.726,5.252,33.35,20.0,19.2,2.72,0.16
2020-02-01,Maiduguri,Borno,North East,4.903,5.442,34.5,28.9,0.0,5.91,0.13
2020-02-02,Maiduguri,Borno,North East,4.265,5.718,37.51,20.0,24.8,4.04,0.04
2020-02-03,Maiduguri,Borno,North East,4.791,5.741,34.84,20.0,17.5,4.41,0.07
2020-02-04,Maiduguri,Borno,North East,5.344,5.569,35.5,20.0,8.1,4.7,0.01
2020-02-05,Maiduguri,Borno,North East,5.194,5.62,33.67,20.0,11.5,2.8,0.03
2020-02-06,Maiduguri,Borno,North East,5.349,5.349,32.0,20.0,0.0,0.1,0.08
2020-02-07,Maiduguri,Borno,North East,4.547,5.594,34.29,20.0,6.6,1.95,0.12
2020-02-08,Maiduguri,Borno,North East,4.297,5.412,35.31,20.0,28.0,4.25,0.04
2020-02-09,Maiduguri,Borno,North East,5.001,5.882,36.94,20.0,19.1,5.77,0.16
2020-02-10,Maiduguri,Borno,North East,5.147,5.238,33.8,20.0,0.0,2.35,0.04
2020-02-11,Maiduguri,Borno,North East,5.051,5.698,35.48,20.0,11.1,3.43,0.0
2020-02-12,Maiduguri,Borno,North East,4.222,5.713,35.22,20.0,3.5,5.82,0.12
2020-02-13,Maiduguri,Borno,North East,3.789,5.177,38.79,20.0,40.3,3.79,0.07
2020-02-14,Maiduguri,Borno,North East,4.811,5.357,37.24,20.0,0.0,2.2,0.08
2020-02-15,Maiduguri,Borno,North East,4.309,5.392,39.24,20.0,34.3,6.17,0.15
2020-02-16,Maiduguri,Borno,North East,4.792,5.56,36.34,20.0,0.0,5.1,0.06
2020-02-17,Maiduguri,Borno,North East,4.706,5.306,35.0,20.0,0.9,2.21,0.05
2020-02-18,Maiduguri,Borno,North East,5.511,5.511,36.06,20.0,14.8,3.89,0.11
