date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Owerri,Imo,South East,3.293,4.016,26.49,43.3,41.6,2.7,0.2
2020-01-02,Owerri,Imo,South East,2.541,4.101,26.2,32.9,32.7,6.62,0.18
2020-01-03,Owerri,Imo,South East,3.445,4.154,33.07,35.6,29.9,1.46,0.1
2020-01-04,Owerri,Imo,South East,3.568,4.122,29.87,20.0,30.9,2.28,0.06
2020-01-05,Owerri,Imo,South East,5.018,5.018,25.96,21.2,4.4,4.36,0.07
2020-01-06,Owerri,Imo,South East,2.572,4.201,31.82,20.0,22.7,5.28,0.03
2020-01-07,Owerri,Imo,South East,3.051,4.492,26.99,20.0,37.4,2.46,0.12
2020-01-08,Owerri,Imo,South East,3.657,3.917,28.28,20.0,34.9,5.29,0.02
2020-01-09,Owerri,Imo,South East,3.957,4.336,25.92,27.7,23.3,2.33,0.06
2020-01-10,Owerri,Imo,South East,3.098,4.346,28.62,29.2,13.2,5.56,0.04
2020-01-11,Owerri,Imo,South East,3.596,3.834,28.68,43.1,30.9,4.39,0.24
2020-01-12,Owerri,Imo,South East,3.027,3.937,30.92,40.9,25.2,2.54,0.05
2020-01-13,Owerri,Imo,South East,3.129,4.286,28.35,27.9,27.7,2.65,0.3
2020-01-14,Owerri,Imo,South East,3.515,4.023,28.84,28.8,49.4,5.21,0.12
2020-01-15,Owerri,Imo,South East,2.397,4.287,26.13,21.6,33.3,1.39,0.01
2020-01-16,Owerri,Imo,South East,2.983,4.398,29.26,24.2,35.8,2.23,0.08
2020-01-17,Owerri,Imo,South East,2.495,3.865,27.34,21.8,54.2,5.4,0.0
2020-01-18,Owerri,Imo,South East,2.795,4.123,29.67,20.0,41.7,0.17,0.36
2020-01-19,Owerri,Imo,South East,3.439,4.611,29.41,20.7,32.1,5.09,0.02
2020-01-20,Owerri,Imo,South East,2.799,5.117,28.26,20.0,58.8,1.72,0.13
2020-01-21,Owerri,Imo,South East,2.843,4.875,31.88,33.7,19.2,0.61,0.1
2020-01-22,Owerri,Imo,South East,2.89,4.304,31.09,32.0,26.6,0.69,0.12
2020-01-23,Owerri,Imo,South East,2.486,4.265,32.76,23.4,54.3,6.59,0.02
2020-01-24,Owerri,Imo,South East,3.471,3.792,32.28,22.7,15.8,6.48,0.21
2020-01-25,Owerri,Imo,South East,4.579,4.579,30.42,29.7,23.4,3.43,0.03
2020-01-26,Owerri,Imo,South East,2.667,4.692,31.28,24.4,40.5,2.71,0.1
2020-01-27,Owerri,Imo,South East,3.909,4.227,27.36,42.3,48.0,4.19,0.02
2020-01-28,Owerri,Imo,South East,3.07,4.647,31.78,22.4,37.6,3.76,0.05
2020-01-29,Owerri,Imo,South East,3.534,3.864,28.92,48.9,43.8,3.49,0.25
2020-01-30,Owerri,Imo,South East,3.659,4.435,28.46,36.5,42.4,6.76,0.03
2020-01-31,Owerri,Imo,South East,3.717,4.134,30.29,27.5,19.0,3.46,0.0
2020-02-01,Owerri,Imo,South East,4.72,4.72,28.68,44.6,48.0,3.76,0.62
2020-02-02,Owerri,Imo,South East,2.8,4.029,27.04,43.2,62.1,4.39,2.48
2020-02-03,Owerri,Imo,South East,2.79,4.42,30.01,39.0,74.3,1.66,1.68
2020-02-04,Owerri,Imo,South East,2.632,4.344,26.43,54.2,51.2,6.1,0.92
2020-02-05,Owerri,Imo,South East,2.428,4.24,27.11,70.8,69.0,4.04,0.66
2020-02-06,Owerri,Imo,South East,2.88,4.668,26.64,52.5,54.7,2.97,2.43
2020-02-07,Owerri,Imo,South East,2.535,4.605,28.86,40.1,86.3,2.58,2.55
2020-02-08,Owerri,Imo,South East,2.841,4.001,28.35,54.0,71.9,1.2,1.42
2020-02-09,Owerri,Imo,South East,3.381,4.297,26.79,55.2,65.4,1.4,1.48
2020-02-10,Owerri,Imo,South East,1.832,4.774,27.9,60.8,66.7,3.25,0.14
2020-02-11,Owerri,Imo,South East,2.025,4.573,28.51,35.8,71.0,2.7,0.67
2020-02-12,Owerri,Imo,South East,2.294,4.059,27.86,55.6,71.5,4.65,5.35
2020-02-13,Owerri,Imo,South East,3.095,3.932,22.91,47.0,57.6,2.86,0.73
2020-02-14,Owerri,Imo,South East,1.492,4.463,28.5,46.7,80.6,2.74,6.03
2020-02-15,Owerri,Imo,South East,2.534,4.115,26.29,56.4,57.5,5.27,0.19
2020-02-16,Owerri,Imo,South East,2.633,4.631,26.69,63.3,72.0,3.71,2.42
2020-02-17,Owerri,Imo,South East,1.911,3.871,27.12,73.4,81.1,4.47,0.93
2020-02-18,Owerri,Imo,South East,3.04,4.052,26.75,38.2,79.2,3.06,3.04
2020-02-19,Owerri,Imo,South East,2.189,4.275,27.18,41.3,67.1,6.02,2.55
2020-02-20,Owerri,Imo,South East,2.622,4.134,26.26,51.4,67.6,1.67,0.5
2020-02-21,Owerri,Imo,South East,2.244,4.938,32.8,53.9,57.7,2.8,1.01
2020-02-22,Owerri,Imo,South East,2.584,4.397,30.04,39.7,77.7,5.07,0.22
2020-02-23,Owerri,Imo,South East,2.447,4.734,27.52,52.5,87.0,4.48,4.57
2020-02-24,Owerri,Imo,South East,2.059,3.782,27.59,53.4,82.8,2.25,9.99
2020-02-25,Owerri,Imo,South East,2.602,3.812,28.73,48.2,71.9,1.04,2.8
2020-02-26,Owerri,Imo,South East,2.295,3.72,25.1,67.9,80.6,2.6,0.13
2020-02-27,Owerri,Imo,South East,2.31,4.402,26.51,36.8,73.6,3.92,0.41
2020-02-28,Owerri,Imo,South East,2.365,4.125,25.7,33.8,84.9,2.36,0.62
2020-02-29,Owerri,Imo,South East,3.561,4.019,27.89,56.1,55.8,1.39,3.16
2020-03-01,Owerri,Imo,South East,2.164,3.95,26.74,64.3,93.9,5.24,11.64
2020-03-02,Owerri,Imo,South East,1.615,4.605,28.58,60.4,91.1,4.15,1.85
2020-03-03,Owerri,Imo,South East,1.702,4.581,24.78,77.0,100.0,2.97,1.28
2020-03-04,Owerri,Imo,South East,2.265,4.49,24.04,55.4,81.1,3.82,16.0
2020-03-05,Owerri,Imo,South East,1.266,3.704,24.82,72.3,100.0,2.53,2.46
2020-03-06,Owerri,Imo,South East,1.979,3.973,26.66,87.6,71.3,1.38,30.16
2020-03-07,Owerri,Imo,South East,2.004,3.941,25.46,80.8,89.5,2.17,16.93
2020-03-08,Owerri,Imo,South East,1.22,4.027,24.14,81.6,100.0,3.06,16.62
2020-03-09,Owerri,Imo,South East,1.374,4.223,28.03,88.4,100.0,3.52,6.11
2020-03-10,Owerri,Imo,South East,1.986,4.278,24.34,68.2,93.5,2.43,17.61
2020-03-11,Owerri,Imo,South East,1.253,4.155,26.12,69.7,100.0,6.5,0.82
2020-03-12,Owerri,Imo,South East,1.393,3.851,24.31,71.1,100.0,4.11,1.97
2020-03-13,Owerri,Imo,South East,1.38,4.231,23.49,78.9,92.5,1.66,12.62
2020-03-14,Owerri,Imo,South East,1.574,3.773,25.48,75.8,100.0,2.55,4.57
2020-03-15,Owerri,Imo,South East,1.925,4.146,25.0,74.5,100.0,4.38,24.41
2020-03-16,Owerri,Imo,South East,1.475,4.046,26.07,57.8,80.3,1.55,0.29
2020-03-17,Owerri,Imo,South East,1.68,3.822,26.39,68.9,76.5,3.17,0.85
2020-03-18,Owerri,Imo,South East,1.817,4.618,25.69,74.1,98.4,1.85,1.23
2020-03-19,Owerri,Imo,South East,1.401,4.252,25.03,71.4,94.3,3.9,1.5
2020-03-20,Owerri,Imo,South East,2.167,4.908,23.35,67.2,83.4,1.07,4.88
2020-03-21,Owerri,Imo,South East,1.503,4.12,25.86,71.2,100.0,6.27,1.12
2020-03-22,Owerri,Imo,South East,1.369,4.239,24.54,63.1,100.0,4.18,16.7
2020-03-23,Owerri,Imo,South East,1.448,4.65,24.92,80.1,100.0,4.26,2.49
2020-03-24,Owerri,Imo,South East,1.91,4.377,25.56,85.7,100.0,3.9,11.17
2020-03-25,Owerri,Imo,South East,1.26,4.244,26.59,76.5,100.0,4.92,1.93
2020-03-26,Owerri,Imo,South East,1.905,4.401,24.9,66.6,94.9,3.11,2.87
2020-03-27,Owerri,Imo,South East,2.075,4.508,24.88,80.6,84.9,1.76,7.29
2020-03-28,Owerri,Imo,South East,1.431,4.62,28.66,73.1,100.0,2.59,1.86
2020-03-29,Owerri,Imo,South East,2.168,4.326,23.85,81.6,88.7,1.82,16.46
2020-03-30,Owerri,Imo,South East,1.969,3.825,25.8,76.8,87.9,1.1,15.76
2020-03-31,Owerri,Imo,South East,1.256,4.279,24.23,68.9,100.0,4.8,2.87
2020-04-01,Owerri,Imo,South East,2.384,4.098,25.05,93.4,87.9,0.59,11.49
2020-04-02,Owerri,Imo,South East,2.383,4.125,27.28,82.0,100.0,5.24,6.69
2020-04-03,Owerri,Imo,South East,1.744,4.201,24.25,81.0,100.0,1.59,1.66
2020-04-04,Owerri,Imo,South East,1.982,4.165,24.93,87.6,99.8,4.98,7.07
2020-04-05,Owerri,Imo,South East,1.697,4.179,26.65,59.4,89.2,2.89,5.95
2020-04-06,Owerri,Imo,South East,1.489,4.339,24.31,84.6,100.0,4.29,11.14
2020-04-07,Owerri,Imo,South East,1.354,4.409,26.24,76.2,92.8,1.69,3.19
2020-04-08,Owerri,Imo,South East,1.551,4.143,21.1,72.7,96.3,1.85,1.55
2020-04-09,Owerri,Imo,South East,1.096,3.506,26.36,56.9,100.0,3.41,6.1
2020-04-10,Owerri,Imo,South East,2.42,4.364,23.9,92.2,91.7,1.44,5.97
2020-04-11,Owerri,Imo,South East,1.722,4.151,23.24,79.8,63.0,3.9,7.88
2020-04-12,Owerri,Imo,South East,1.688,4.426,23.71,82.9,100.0,3.45,33.26
2020-04-13,Owerri,Imo,South East,2.493,4.482,28.09,88.4,91.9,5.06,4.49
2020-04-14,Owerri,Imo,South East,1.615,4.076,27.14,71.2,100.0,3.74,0.67
2020-04-15,Owerri,Imo,South East,1.874,3.692,23.89,56.9,87.7,2.69,16.41
2020-04-16,Owerri,Imo,South East,1.023,4.541,25.23,60.5,100.0,0.67,3.3
2020-04-17,Owerri,Imo,South East,1.996,3.985,28.23,82.4,75.6,1.75,13.23
2020-04-18,Owerri,Imo,South East,1.796,4.215,25.81,73.7,94.0,3.65,0.86
2020-04-19,Owerri,Imo,South East,1.613,4.312,25.31,80.0,80.8,2.38,1.18
2020-04-20,Owerri,Imo,South East,1.976,4.046,25.69,77.1,100.0,3.8,3.75
2020-04-21,Owerri,Imo,South East,1.483,3.925,27.18,73.7,98.7,4.27,3.32
2020-04-22,Owerri,Imo,South East,2.408,4.304,25.76,67.0,79.2,4.75,3.6
2020-04-23,Owerri,Imo,South East,2.214,4.337,22.49,76.2,83.8,5.36,7.2
2020-04-24,Owerri,Imo,South East,1.905,4.012,26.32,65.9,100.0,1.52,2.97
2020-04-25,Owerri,Imo,South East,1.984,4.981,27.67,79.2,100.0,4.89,31.01
2020-04-26,Owerri,Imo,South East,2.175,4.365,23.24,96.6,83.4,3.34,10.34
2020-04-27,Owerri,Imo,South East,1.345,4.156,24.28,84.9,100.0,1.3,2.58
2020-04-28,Owerri,Imo,South East,2.056,4.062,27.44,75.5,90.8,2.2,4.8
2020-04-29,Owerri,Imo,South East,1.726,4.206,26.89,73.1,100.0,6.61,3.1
2020-04-30,Owerri,Imo,South East,1.773,4.457,24.34,91.2,100.0,4.95,0.55
2020-05-01,Owerri,Imo,South East,2.22,4.563,26.89,64.5,100.0,3.04,20.6
2020-05-02,Owerri,Imo,South East,1.756,3.961,25.1,89.4,100.0,2.5,4.42
2020-05-03,Owerri,Imo,South East,2.245,4.682,27.65,70.9,95.7,2.52,4.24
2020-05-04,Owerri,Imo,South East,1.73,4.252,24.89,89.0,89.1,2.66,21.49
2020-05-05,Owerri,Imo,South East,1.952,3.562,27.11,63.3,95.4,3.79,11.13
2020-05-06,Owerri,Imo,South East,2.094,4.492,24.33,61.7,100.0,5.41,3.92
2020-05-07,Owerri,Imo,South East,2.366,3.636,27.19,71.1,100.0,5.04,5.05
2020-05-08,Owerri,Imo,South East,1.633,3.591,28.62,74.4,84.1,1.36,1.45
2020-05-09,Owerri,Imo,South East,1.601,4.387,24.42,84.3,100.0,1.69,0.33
2020-05-10,Owerri,Imo,South East,1.582,4.627,25.23,66.1,100.0,3.34,5.62
2020-05-11,Owerri,Imo,South East,1.14,4.079,24.67,81.2,73.7,5.46,0.05
2020-05-12,Owerri,Imo,South East,1.533,4.047,27.35,83.3,99.1,4.35,12.14
2020-05-13,Owerri,Imo,South East,1.92,4.227,23.98,84.6,79.8,3.31,0.15
2020-05-14,Owerri,Imo,South East,2.329,3.74,25.06,76.3,98.7,3.52,0.33
2020-05-15,Owerri,Imo,South East,2.009,4.72,28.15,92.5,79.1,0.85,3.02
2020-05-16,Owerri,Imo,South East,1.585,3.971,22.58,82.2,83.9,4.28,20.41
2020-05-17,Owerri,Imo,South East,2.052,4.315,28.07,83.7,100.0,3.98,0.08
2020-05-18,Owerri,Imo,South East,2.005,3.735,21.98,85.1,84.8,2.66,0.87
2020-05-19,Owerri,Imo,South East,0.831,4.025,25.64,58.4,100.0,3.81,3.0
2020-05-20,Owerri,Imo,South East,2.597,4.317,22.31,54.4,92.4,2.49,5.76
2020-05-21,Owerri,Imo,South East,1.75,4.347,24.35,60.2,97.6,1.15,11.34
2020-05-22,Owerri,Imo,South East,1.466,4.342,24.95,86.1,95.1,3.9,2.91
2020-05-23,Owerri,Imo,South East,2.047,4.537,29.26,74.6,100.0,2.75,6.63
2020-05-24,Owerri,Imo,South East,1.708,3.888,25.19,59.2,94.7,2.62,5.39
2020-05-25,Owerri,Imo,South East,1.834,4.585,28.14,75.6,88.1,0.64,5.5
2020-05-26,Owerri,Imo,South East,1.798,4.186,24.2,58.2,84.7,4.43,1.86
2020-05-27,Owerri,Imo,South East,1.618,4.478,23.29,75.7,97.4,0.96,29.67
2020-05-28,Owerri,Imo,South East,2.789,3.604,25.83,84.0,76.5,0.93,8.31
2020-05-29,Owerri,Imo,South East,1.838,4.492,25.9,83.0,77.0,1.48,1.97
2020-05-30,Owerri,Imo,South East,1.627,4.834,29.16,77.1,79.4,5.82,3.01
2020-05-31,Owerri,Imo,South East,2.004,4.537,21.53,81.2,64.0,4.99,16.14
2020-06-01,Owerri,Imo,South East,1.386,4.114,23.37,84.8,99.0,1.54,7.86
