date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Port Harcourt,Rivers,South South,3.207,3.211,29.98,54.2,34.9,1.62,0.42
2020-01-02,Port Harcourt,Rivers,South South,2.288,3.287,31.27,49.5,55.4,4.61,0.37
2020-01-03,Port Harcourt,Rivers,South South,3.253,3.834,27.72,23.9,51.9,3.06,0.21
2020-01-04,Port Harcourt,Rivers,South South,3.158,4.03,26.61,52.8,46.0,4.36,0.15
2020-01-05,Port Harcourt,Rivers,South South,3.187,3.412,30.49,29.4,17.5,2.01,0.01
2020-01-06,Port Harcourt,Rivers,South South,2.72,3.823,28.54,20.0,37.5,3.03,0.01
2020-01-07,Port Harcourt,Rivers,South South,3.437,4.202,28.46,30.4,35.1,3.29,0.04
2020-01-08,Port Harcourt,Rivers,South South,4.431,4.431,29.48,29.8,31.2,1.07,0.04
2020-01-09,Port Harcourt,Rivers,South South,2.706,4.097,26.58,35.3,52.5,4.63,0.16
2020-01-10,Port Harcourt,Rivers,South South,2.953,4.055,30.4,29.2,34.7,4.67,0.1
2020-01-11,Port Harcourt,Rivers,South South,3.261,4.582,26.49,22.6,28.7,5.78,0.03
2020-01-12,Port Harcourt,Rivers,South South,3.731,3.946,27.97,37.9,33.3,4.3,0.16
2020-01-13,Port Harcourt,Rivers,South South,3.841,3.941,31.76,20.0,26.4,3.58,0.02
2020-01-14,Port Harcourt,Rivers,South South,2.686,3.843,31.3,23.6,54.3,4.21,0.36
2020-01-15,Port Harcourt,Rivers,South South,2.392,3.211,27.62,20.6,42.0,5.1,0.0
2020-01-16,Port Harcourt,Rivers,South South,3.235,4.071,31.47,32.2,46.0,2.7,0.14
2020-01-17,Port Harcourt,Rivers,South South,2.514,4.122,28.72,33.7,29.8,3.86,0.02
2020-01-18,Port Harcourt,Rivers,South South,2.831,3.844,26.33,32.9,10.3,1.9,0.0
2020-01-19,Port Harcourt,Rivers,South South,3.149,3.637,27.74,28.4,38.5,2.77,0.06
2020-01-20,Port Harcourt,Rivers,South South,1.947,3.839,31.17,29.1,57.3,5.31,0.1
2020-01-21,Port Harcourt,Rivers,South South,2.873,3.61,32.52,39.4,33.1,5.22,0.13
2020-01-22,Port Harcourt,Rivers,South South,2.826,4.139,30.7,34.3,44.4,2.63,0.19
2020-01-23,Port Harcourt,Rivers,South South,3.104,3.993,27.73,20.8,32.3,4.0,0.14
2020-01-24,Port Harcourt,Rivers,South South,3.832,3.832,26.14,39.2,25.8,1.05,0.1
2020-01-25,Port Harcourt,Rivers,South South,2.206,3.544,30.4,32.0,39.9,3.44,0.19
2020-01-26,Port Harcourt,Rivers,South South,2.528,3.67,29.27,20.0,30.4,1.64,0.51
2020-01-27,Port Harcourt,Rivers,South South,2.953,3.576,29.26,40.5,45.7,4.76,0.12
2020-01-28,Port Harcourt,Rivers,South South,2.65,4.404,26.84,46.8,28.7,4.34,0.11
2020-01-29,Port Harcourt,Rivers,South South,2.114,4.225,30.27,20.0,51.7,5.13,0.07
2020-01-30,Port Harcourt,Rivers,South South,2.391,3.805,26.2,23.0,20.1,6.54,0.13
2020-01-31,Port Harcourt,Rivers,South South,2.398,4.087,33.07,26.2,51.1,2.63,0.01
2020-02-01,Port Harcourt,Rivers,South South,2.51,4.081,29.3,31.9,82.8,6.52,0.82
2020-02-02,Port Harcourt,Rivers,South South,2.157,4.128,25.4,47.0,84.2,2.49,3.13
2020-02-03,Port Harcourt,Rivers,South South,1.78,4.221,28.09,44.5,68.5,2.71,0.05
2020-02-04,Port Harcourt,Rivers,South South,2.127,4.021,28.28,77.7,84.4,3.42,0.75
2020-02-05,Port Harcourt,Rivers,South South,2.306,3.976,27.63,64.6,67.1,3.26,1.77
2020-02-06,Port Harcourt,Rivers,South South,1.963,3.725,28.57,42.9,54.1,1.9,1.19
2020-02-07,Port Harcourt,Rivers,South South,2.96,3.999,26.19,76.2,70.2,4.55,4.48
2020-02-08,Port Harcourt,Rivers,South South,2.222,3.877,28.22,54.4,75.5,4.23,8.12
2020-02-09,Port Harcourt,Rivers,South South,1.994,3.317,25.83,65.4,88.9,5.61,3.03
2020-02-10,Port Harcourt,Rivers,South South,2.104,3.88,29.09,49.3,72.1,4.77,0.59
2020-02-11,Port Harcourt,Rivers,South South,1.925,3.636,24.67,68.8,56.8,2.83,0.01
2020-02-12,Port Harcourt,Rivers,South South,1.943,3.772,26.19,53.3,88.5,4.72,1.29
2020-02-13,Port Harcourt,Rivers,South South,2.993,3.53,26.79,53.5,67.3,3.68,1.29
2020-02-14,Port Harcourt,Rivers,South South,1.427,3.952,27.27,73.0,81.7,2.69,1.51
2020-02-15,Port Harcourt,Rivers,South South,2.108,3.82,25.63,62.9,87.9,3.68,4.27
2020-02-16,Port Harcourt,Rivers,South South,2.238,4.288,25.64,50.1,86.1,1.99,0.26
2020-02-17,Port Harcourt,Rivers,South South,1.747,4.048,31.55,71.1,83.6,2.84,1.04
2020-02-18,Port Harcourt,Rivers,South South,1.773,3.541,26.86,48.3,83.2,2.21,0.6
2020-02-19,Port Harcourt,Rivers,South South,2.838,3.924,27.78,52.3,65.0,4.66,2.3
2020-02-20,Port Harcourt,Rivers,South South,2.364,3.742,27.6,55.8,81.9,3.38,0.36
2020-02-21,Port Harcourt,Rivers,South South,2.535,3.902,25.88,58.9,70.7,5.84,1.77
