date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Sokoto,Sokoto,North West,4.516,5.673,36.28,20.4,31.6,4.94,0.03
2020-01-02,Sokoto,Sokoto,North West,4.606,5.738,34.97,20.0,15.8,2.5,0.19
2020-01-03,Sokoto,Sokoto,North West,4.29,5.377,37.25,20.0,27.7,4.28,0.02
2020-01-04,Sokoto,Sokoto,North West,5.365,5.73,39.52,20.0,11.7,5.54,0.05
2020-01-05,Sokoto,Sokoto,North West,4.853,5.743,34.73,20.0,14.5,6.22,0.05
2020-01-06,Sokoto,Sokoto,North West,5.613,5.613,33.39,20.0,6.3,4.89,0.02
2020-01-07,Sokoto,Sokoto,North West,5.386,6.079,34.36,20.0,17.8,0.6,0.22
2020-01-08,Sokoto,Sokoto,North West,4.64,5.28,37.04,20.0,25.5,3.69,0.17
2020-01-09,Sokoto,Sokoto,North West,5.538,5.613,33.8,21.2,8.6,2.46,0.17
2020-01-10,Sokoto,Sokoto,North West,4.897,6.335,33.38,28.1,13.3,3.88,0.08
2020-01-11,Sokoto,Sokoto,North West,4.777,5.869,33.24,20.0,14.6,3.23,0.04
2020-01-12,Sokoto,Sokoto,North West,5.296,5.977,36.04,20.0,7.7,4.91,0.36
2020-01-13,Sokoto,Sokoto,North West,5.313,5.313,36.29,20.0,19.6,0.23,0.22
2020-01-14,Sokoto,Sokoto,North West,4.79,5.797,36.14,31.1,16.3,2.62,0.03
2020-01-15,Sokoto,Sokoto,North West,5.147,5.853,35.19,20.0,10.2,4.03,0.08
2020-01-16,Sokoto,Sokoto,North West,4.794,5.486,33.66,20.0,8.3,5.97,0.12
2020-01-17,Sokoto,Sokoto,North West,4.886,5.979,33.77,20.0,25.2,3.28,0.18
2020-01-18,Sokoto,Sokoto,North West,4.922,5.409,33.63,20.0,22.2,0.84,0.01
2020-01-19,Sokoto,Sokoto,North West,4.359,5.491,36.57,20.0,7.8,2.99,0.22
2020-01-20,Sokoto,Sokoto,North West,4.182,5.678,35.6,20.0,22.1,5.24,0.03
2020-01-21,Sokoto,Sokoto,North West,5.004,6.076,34.61,20.0,22.6,3.54,0.08
2020-01-22,Sokoto,Sokoto,North West,4.727,5.546,35.46,20.0,47.1,4.77,0.02
2020-01-23,Sokoto,Sokoto,North West,4.741,6.269,36.59,20.0,13.1,4.92,0.12
2020-01-24,Sokoto,Sokoto,North West,5.052,5.223,33.04,23.4,0.0,0.98,0.09
2020-01-25,Sokoto,Sokoto,North West,4.87,5.391,34.81,20.0,0.0,3.35,0.06
2020-01-26,Sokoto,Sokoto,North West,4.653,5.696,33.66,20.0,27.1,3.55,0.09
2020-01-27,Sokoto,Sokoto,North West,5.32,5.32,33.53,23.1,7.6,5.11,0.0
2020-01-28,Sokoto,Sokoto,North West,4.533,6.231,34.66,20.0,9.1,3.52,0.14
2020-01-29,Sokoto,Sokoto,North West,5.0,6.097,37.59,26.2,8.4,2.66,0.21
2020-01-30,Sokoto,Sokoto,North West,4.966,5.636,34.17,20.0,15.6,4.68,0.41
2020-01-31,Sokoto,Sokoto,North West,4.617,5.94,35.42,38.7,13.8,5.07,0.11
2020-02-01,Sokoto,Sokoto,North West,4.544,5.668,34.18,30.0,8.9,6.33,0.15
2020-02-02,Sokoto,Sokoto,North West,5.347,5.971,33.38,20.0,7.9,4.53,0.09
2020-02-03,Sokoto,Sokoto,North West,5.379,5.766,38.84,26.7,26.0,4.0,0.03
2020-02-04,Sokoto,Sokoto,North West,5.683,5.845,34.57,20.0,0.0,2.06,0.01
2020-02-05,Sokoto,Sokoto,North West,4.567,5.532,33.6,20.0,18.4,2.88,0.18
2020-02-06,Sokoto,Sokoto,North West,5.855,5.964,35.89,29.8,0.6,4.41,0.12
2020-02-07,Sokoto,Sokoto,North West,4.815,5.558,37.59,20.0,17.2,5.15,0.29
