date,city,state,zone,solar_irradiance_kwh_m2_day,clear_sky_irradiance_kwh_m2_day,temperature_2m_c,humidity_pct,cloud_cover_pct,wind_speed_2m_ms,precipitation_mm_day
2020-01-01,Yola,Adamawa,North East,5.443,5.443,36.52,20.0,10.3,3.9,0.03
2020-01-02,Yola,Adamawa,North East,3.681,5.44,34.76,20.0,0.7,2.66,0.09
2020-01-03,Yola,Adamawa,North East,3.98,5.177,34.94,20.0,19.0,2.87,0.11
2020-01-04,Yola,Adamawa,North East,3.936,4.818,33.01,20.0,35.9,5.03,0.16
2020-01-05,Yola,Adamawa,North East,4.877,5.1,40.92,20.0,14.0,3.59,0.29
2020-01-06,Yola,Adamawa,North East,5.102,5.61,36.67,20.0,11.7,5.74,0.23
2020-01-07,Yola,Adamawa,North East,6.229,6.229,31.62,20.0,0.6,1.2,0.12
2020-01-08,Yola,Adamawa,North East,5.038,5.325,36.9,20.0,10.2,2.38,0.07
2020-01-09,Yola,Adamawa,North East,4.446,5.273,33.93,20.0,26.8,2.37,0.07
2020-01-10,Yola,Adamawa,North East,4.224,5.652,35.23,20.0,9.8,3.53,0.03
2020-01-11,Yola,Adamawa,North East,4.348,5.407,35.44,20.0,0.0,5.21,0.09
2020-01-12,Yola,Adamawa,North East,4.985,5.411,36.37,20.0,0.0,3.86,0.16
2020-01-13,Yola,Adamawa,North East,4.613,5.578,35.75,20.0,29.1,5.22,0.06
2020-01-14,Yola,Adamawa,North East,4.685,5.992,35.7,20.0,16.2,2.71,0.05
2020-01-15,Yola,Adamawa,North East,5.319,5.783,37.92,20.0,0.0,4.41,0.1
2020-01-16,Yola,Adamawa,North East,4.693,5.113,36.35,20.0,11.0,2.8,0.07
2020-01-17,Yola,Adamawa,North East,4.018,5.331,35.67,20.0,0.0,5.63,0.08
2020-01-18,Yola,Adamawa,North East,4.644,5.468,38.05,20.0,24.2,5.42,0.44
2020-01-19,Yola,Adamawa,North East,5.556,5.832,37.0,20.0,0.0,2.35,0.01
2020-01-20,Yola,Adamawa,North East,4.752,6.026,34.96,20.0,23.4,1.6,0.01
2020-01-21,Yola,Adamawa,North East,4.715,5.747,33.44,20.0,12.9,2.11,0.01
2020-01-22,Yola,Adamawa,North East,5.18,5.668,36.05,20.0,2.3,2.97,0.16
2020-01-23,Yola,Adamawa,North East,4.417,5.359,33.94,20.0,38.5,4.37,0.01
2020-01-24,Yola,Adamawa,North East,4.643,6.052,36.41,20.0,24.7,3.43,0.06
2020-01-25,Yola,Adamawa,North East,4.803,5.265,36.97,20.0,16.5,4.01,0.22
2020-01-26,Yola,Adamawa,North East,5.099,5.252,36.63,21.2,16.0,0.83,0.46
2020-01-27,Yola,Adamawa,North East,4.118,5.04,36.49,20.0,21.6,2.52,0.16
2020-01-28,Yola,Adamawa,North East,4.418,5.141,39.55,20.0,22.9,7.72,0.05
2020-01-29,Yola,Adamawa,North East,3.858,5.318,39.59,20.0,24.4,2.89,0.54
2020-01-30,Yola,Adamawa,North East,5.349,5.349,37.7,20.0,0.0,2.36,0.02
2020-01-31,Yola,Adamawa,North East,3.874,5.381,36.65,35.2,28.6,2.97,0.07
2020-02-01,Yola,Adamawa,North East,6.021,6.021,36.95,20.0,0.0,2.65,0.11
2020-02-02,Yola,Adamawa,North East,4.79,6.122,34.17,20.0,24.6,6.81,0.13
2020-02-03,Yola,Adamawa,North East,4.556,5.609,35.24,20.0,1.3,2.04,0.43
2020-02-04,Yola,Adamawa,North East,5.237,5.237,35.45,20.0,14.9,0.72,0.03
2020-02-05,Yola,Adamawa,North East,4.701,5.246,33.89,28.0,9.8,2.25,0.0
2020-02-06,Yola,Adamawa,North East,5.362,5.743,37.11,20.0,0.0,4.96,0.03
2020-02-07,Yola,Adamawa,North East,4.857,5.327,34.45,20.0,28.3,3.74,0.02
2020-02-08,Yola,Adamawa,North East,4.343,5.644,38.1,30.8,28.9,3.99,0.07
2020-02-09,Yola,Adamawa,North East,5.659,5.659,36.88,22.0,7.0,4.2,0.07
2020-02-10,Yola,Adamawa,North East,3.88,5.61,37.13,20.0,21.3,4.41,0.07
2020-02-11,Yola,Adamawa,North East,5.102,5.55,35.41,20.0,19.0,4.43,0.0
2020-02-12,Yola,Adamawa,North East,5.688,5.688,33.15,20.0,0.0,3.88,0.06
2020-02-13,Yola,Adamawa,North East,4.932,5.874,40.0,20.0,16.7,5.24,0.31
2020-02-14,Yola,Adamawa,North East,4.718,5.588,34.43,20.0,11.9,6.98,0.18
2020-02-15,Yola,Adamawa,North East,4.907,5.563,36.24,20.0,17.0,3.56,0.43
2020-02-16,Yola,Adamawa,North East,3.8,5.435,35.43,20.0,24.8,1.9,0.03
2020-02-17,Yola,Adamawa,North East,5.197,5.197,35.42,20.0,8.3,3.31,0.28
2020-02-18,Yola,Adamawa,North East,3.901,5.045,36.43,20.0,7.2,2.96,0.11
2020-02-19,Yola,Adamawa,North East,5.361,5.515,37.57,20.0,6.3,2.53,0.02
2020-02-20,Yola,Adamawa,North East,4.375,5.181,33.44,20.0,8.5,5.99,0.03
2020-02-21,Yola,Adamawa,North East,4.681,5.539,34.82,40.0,3.0,4.37,0.04
2020-02-22,Yola,Adamawa,North East,3.528,5.404,31.19,20.0,28.7,3.74,0.09
2020-02-23,Yola,Adamawa,North East,3.922,5.098,33.22,20.0,6.6,2.6,0.07
2020-02-24,Yola,Adamawa,North East,3.884,5.637,36.39,21.5,14.7,5.18,0.06
2020-02-25,Yola,Adamawa,North East,4.579,5.691,37.24,20.0,18.9,4.4,0.06
2020-02-26,Yola,Adamawa,North East,4.599,5.365,37.94,20.0,10.1,1.49,0.0
