battery_id,cycle_number,capacity_ah,rated_capacity_ah,state_of_health,temperature_c,internal_resistance_mohm,charge_time_min,discharge_time_min,voltage_drop_v,energy_wh,remaining_useful_life,is_end_of_life,alpha,temp_profile
B0005,1,2.00227,2.0,1.00114,23.65,153.42,124.6,89.63,0.3045,7.4084,418,False,0.00085,Room Temp
B0005,2,2.00924,2.0,1.00462,25.92,151.15,121.77,89.49,0.2977,7.4342,417,False,0.00085,Room Temp
B0005,3,1.99684,2.0,0.99842,19.22,137.44,118.27,87.83,0.278,7.3883,416,False,0.00085,Room Temp
B0005,4,1.98595,2.0,0.99297,20.47,155.49,119.11,89.5,0.2967,7.348,415,False,0.00085,Room Temp
B0005,5,1.98716,2.0,0.99358,24.28,147.58,120.93,88.22,0.2922,7.3525,414,False,0.00085,Room Temp
B0005,6,1.98501,2.0,0.99251,28.63,159.09,116.6,90.97,0.306,7.3445,413,False,0.00085,Room Temp
B0005,7,1.98981,2.0,0.9949,19.1,141.68,120.44,91.02,0.2851,7.3623,412,False,0.00085,Room Temp
B0005,8,1.98552,2.0,0.99276,23.25,146.5,117.62,88.43,0.3036,7.3464,411,False,0.00085,Room Temp
B0005,9,1.98751,2.0,0.99375,19.59,151.73,118.66,88.08,0.3096,7.3538,410,False,0.00085,Room Temp
B0005,10,1.99132,2.0,0.99566,26.33,154.6,118.94,90.27,0.319,7.3679,409,False,0.00085,Room Temp
B0005,11,1.97755,2.0,0.98878,23.54,150.51,116.07,90.61,0.3146,7.3169,408,False,0.00085,Room Temp
B0005,12,1.97913,2.0,0.98956,26.51,162.02,117.75,89.78,0.3394,7.3228,407,False,0.00085,Room Temp
B0005,13,1.97774,2.0,0.98887,27.91,149.4,122.13,89.17,0.2958,7.3176,406,False,0.00085,Room Temp
B0005,14,1.97708,2.0,0.98854,19.03,151.34,120.73,91.92,0.2975,7.3152,405,False,0.00085,Room Temp
B0005,15,1.96819,2.0,0.9841,22.75,162.07,120.51,87.51,0.3293,7.2823,404,False,0.00085,Room Temp
B0005,16,1.97376,2.0,0.98688,26.42,159.0,118.62,88.04,0.3034,7.3029,403,False,0.00085,Room Temp
B0005,17,1.97368,2.0,0.98684,24.65,161.01,118.9,85.98,0.3178,7.3026,402,False,0.00085,Room Temp
B0005,18,1.96689,2.0,0.98345,21.99,157.59,120.72,92.28,0.3169,7.2775,401,False,0.00085,Room Temp
B0005,19,1.97002,2.0,0.98501,23.81,151.58,119.47,88.77,0.3278,7.2891,400,False,0.00085,Room Temp
B0005,20,1.96475,2.0,0.98237,24.75,162.73,115.97,90.7,0.333,7.2696,399,False,0.00085,Room Temp
B0005,21,1.97094,2.0,0.98547,21.73,166.89,115.36,89.87,0.3557,7.2925,398,False,0.00085,Room Temp
B0005,22,1.95502,2.0,0.97751,22.58,162.0,117.81,84.87,0.3247,7.2336,397,False,0.00085,Room Temp
B0005,23,1.95278,2.0,0.97639,25.18,160.62,123.94,86.31,0.318,7.2253,396,False,0.00085,Room Temp
B0005,24,1.96612,2.0,0.98306,20.92,161.84,123.41,85.26,0.3255,7.2746,395,False,0.00085,Room Temp
B0005,25,1.96003,2.0,0.98001,25.95,161.16,115.44,89.25,0.3253,7.2521,394,False,0.00085,Room Temp
