battery_id,cycle_number,time_min,voltage_v,current_a,capacity_ah,state_of_health,temp_c
B0018,1,0.0,4.1402,-2.0,0.0,0.9989,38.52
B0018,1,0.908,4.15,-2.0,0.02018,0.9989,39.46
B0018,1,1.816,4.16,-2.0,0.04036,0.9989,41.83
B0018,1,2.724,4.1457,-2.0,0.06054,0.9989,40.56
B0018,1,3.632,4.1537,-2.0,0.08072,0.9989,39.4
B0018,1,4.54,4.1425,-2.0,0.1009,0.9989,39.99
B0018,1,5.449,4.1491,-2.0,0.12108,0.9989,39.56
B0018,1,6.357,4.1522,-2.0,0.14126,0.9989,39.25
B0018,1,7.265,4.1442,-2.0,0.16144,0.9989,40.11
B0018,1,8.173,4.1519,-2.0,0.18162,0.9989,38.82
B0018,1,9.081,4.1546,-2.0,0.2018,0.9989,38.23
B0018,1,9.989,4.1471,-2.0,0.22198,0.9989,39.74
B0018,1,10.897,4.1468,-2.0,0.24216,0.9989,39.43
B0018,1,11.805,4.1594,-2.0,0.26234,0.9989,39.15
B0018,1,12.713,4.1622,-2.0,0.28252,0.9989,40.44
B0018,1,13.621,4.1505,-2.0,0.3027,0.9989,40.48
B0018,1,14.529,4.1626,-2.0,0.32288,0.9989,39.01
B0018,1,15.438,4.1444,-2.0,0.34306,0.9989,39.25
B0018,1,16.346,4.1502,-2.0,0.36324,0.9989,38.27
B0018,1,17.254,4.1501,-2.0,0.38342,0.9989,41.69
B0018,1,18.162,4.1508,-2.0,0.4036,0.9989,39.71
B0018,1,19.07,4.1469,-2.0,0.42378,0.9989,40.9
B0018,1,19.978,4.1459,-2.0,0.44396,0.9989,41.85
B0018,1,20.886,4.1597,-2.0,0.46414,0.9989,40.26
B0018,1,21.794,4.1499,-2.0,0.48432,0.9989,41.03
B0018,1,22.702,4.1555,-2.0,0.5045,0.9989,39.19
B0018,1,23.61,4.1474,-2.0,0.52468,0.9989,38.68
B0018,1,24.518,4.152,-2.0,0.54485,0.9989,40.67
B0018,1,25.427,4.1432,-2.0,0.56503,0.9989,39.54
B0018,1,26.335,4.1433,-2.0,0.58521,0.9989,39.1
B0018,1,27.243,4.1528,-2.0,0.60539,0.9989,39.27
B0018,1,28.151,4.1485,-2.0,0.62557,0.9989,38.37
B0018,1,29.059,4.1509,-2.0,0.64575,0.9989,39.96
B0018,1,29.967,4.1464,-2.0,0.66593,0.9989,39.81
B0018,1,30.875,4.1509,-2.0,0.68611,0.9989,39.19
B0018,1,31.783,4.1426,-2.0,0.70629,0.9989,41.81
B0018,1,32.691,4.1468,-2.0,0.72647,0.9989,39.9
B0018,1,33.599,4.155,-2.0,0.74665,0.9989,43.53
B0018,1,34.507,4.1438,-2.0,0.76683,0.9989,40.45
B0018,1,35.416,4.1464,-2.0,0.78701,0.9989,39.46
B0018,1,36.324,4.1464,-2.0,0.80719,0.9989,38.87
B0018,1,37.232,4.1497,-2.0,0.82737,0.9989,38.53
B0018,1,38.14,4.1547,-2.0,0.84755,0.9989,40.06
B0018,1,39.048,4.152,-2.0,0.86773,0.9989,39.53
